NFLX,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
867,387.59,396.57,7202155,409.36,386.891,400.2318,153624,2022-02-14 05:00:00
868,403.79,407.46,5395641,409.1619,401.01,405.5445,117921,2022-02-15 05:00:00
869,401.53,398.08,5277650,401.56,390.3842,396.0488,132005,2022-02-16 05:00:00
870,394.235,386.67,4669222,399.11,385.7,391.0769,122821,2022-02-17 05:00:00
871,392.53,391.29,6801668,402.87,389.0466,394.1564,168098,2022-02-18 05:00:00
872,388.95,377.38,6668515,392.42,373.02,381.1013,187341,2022-02-22 05:00:00
873,382.72,367.46,4614290,386,366.66,372.1211,125123,2022-02-23 05:00:00
874,355.09,390.03,7068724,390.73,354.72,375.9055,189499,2022-02-24 05:00:00
875,386.61,390.8,4841636,391.29,375.58,386.1093,134247,2022-02-25 05:00:00
876,387.33,394.52,5035046,397.75,382.13,391.9541,126831,2022-02-28 05:00:00
877,391.6,386.24,3290439,395,383.705,388.811,106753,2022-03-01 05:00:00
878,388.93,380.03,5356809,389.22,375.21,379.8237,131500,2022-03-02 05:00:00
879,386,368.07,6059836,386.12,364.65,370.1987,148163,2022-03-03 05:00:00
880,368,361.73,5329180,374.8186,357.17,361.9986,146864,2022-03-04 05:00:00
881,360.41,350.26,5708383,361.995,350.2,355.4569,149354,2022-03-07 05:00:00
882,349.8,341.76,6428655,358.86,340.67,346.8772,157164,2022-03-08 05:00:00
883,357.685,358.79,6485186,364.14,350.5089,358.5485,144777,2022-03-09 05:00:00
884,356.2,356.77,4807767,367.02,353.3,358.9168,121317,2022-03-10 05:00:00
885,361.19,340.32,4819925,363.36,340,346.3833,121622,2022-03-11 05:00:00
886,338.72,331.01,5607817,341.32,329.82,333.5401,139902,2022-03-14 04:00:00
887,335.1,343.75,5460640,345.36,332.36,340.586,112121,2022-03-15 04:00:00
888,348.2,357.53,6982469,359.99,343.06,353.3494,143517,2022-03-16 04:00:00
889,359.7,371.4,5818348,373.31,354.88,367.4357,127268,2022-03-17 04:00:00
890,372,380.6,8324825,381.8,368.47,378.0981,149956,2022-03-18 04:00:00
891,378.02,374.59,4812363,381.82,368.94,374.1247,124375,2022-03-21 04:00:00
892,371.14,382.92,4242762,386.66,366.76,381.8097,112431,2022-03-22 04:00:00
893,379.77,374.49,3728954,382.46,374.49,377.6937,96703,2022-03-23 04:00:00
894,379.76,375.71,3888461,379.76,368.9,374.1352,98401,2022-03-24 04:00:00
895,377.07,373.85,3575953,377.64,366.43,371.6558,101860,2022-03-25 04:00:00
896,375.23,378.51,4323435,380.28,366.73,374.3525,111378,2022-03-28 04:00:00
897,384.39,391.82,5880723,396.5,380.33,390.242,151424,2022-03-29 04:00:00
898,389.55,381.47,4023301,392.7,378.625,384.3949,111477,2022-03-30 04:00:00
899,383.59,374.59,4134720,384,373.61,376.6021,103603,2022-03-31 04:00:00
900,376.8,373.47,4644237,380.87,368.5,373.8007,111371,2022-04-01 04:00:00
901,373.55,391.5,7009235,396.02,373.13,389.628,145683,2022-04-04 04:00:00
902,389.3,380.15,4234508,390,377.305,381.6537,110762,2022-04-05 04:00:00
903,374.15,368.35,4350785,376.4699,362.73,367.4293,134607,2022-04-06 04:00:00
904,365,362.15,4948909,368.54,353.6897,361.3157,125219,2022-04-07 04:00:00
905,361.96,355.88,4025183,362.5,354.865,357.7303,98147,2022-04-08 04:00:00
906,350,348,3775896,354.78,345.2,349.586,105365,2022-04-11 04:00:00
