MATICUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
439,0.8887,0.9164,78703902.4544606,0.9641,0.8308,0.9057,166615,2022-11-14
440,0.917,0.9409,59792147.8100942,0.97824,0.9058,0.9408,107244,2022-11-15
441,0.9409,0.897,48723076.6874419,0.95633,0.878,0.9064,76313,2022-11-16
442,0.8974,0.8735,46756580.8604373,0.9115,0.861,0.8824,70167,2022-11-17
443,0.8734,0.8783,31688757.4195735,0.8993,0.8669,0.8835,63766,2022-11-18
444,0.8783,0.8753,25305922.3044301,0.88276,0.8487,0.8668,64009,2022-11-19
445,0.8752,0.8058,42024027.4146525,0.88128,0.7983,0.835,84928,2022-11-20
446,0.8058,0.79571,55117287.4519958,0.8204,0.7633,0.7922,105878,2022-11-21
447,0.7953,0.8502,67573996.5310586,0.8664,0.7775,0.8272,103116,2022-11-22
448,0.8504,0.8607,47462147.6827649,0.87289,0.8354,0.8539,85575,2022-11-23
449,0.8607,0.8482,36665471.1626997,0.89059,0.8412,0.8608,75780,2022-11-24
450,0.8483,0.8436,24196009.8241632,0.84935,0.8188,0.8365,49408,2022-11-25
451,0.8439,0.8459,22157258.761284,0.87199,0.8382,0.856,57145,2022-11-26
452,0.846,0.8435,22561414.9938631,0.8655,0.8402,0.8548,58965,2022-11-27
453,0.8433,0.8209,38150697.8346619,0.8486,0.8036,0.8202,76166,2022-11-28
454,0.8213,0.8382,23132777.167433,0.8497,0.8129,0.8348,33140,2022-11-29
455,0.8383,0.933,70713631.6739854,0.9446,0.8369,0.8902,77841,2022-11-30
456,0.9332,0.9087,58535443.294637,0.9454,0.9057,0.9231,109938,2022-12-01
457,0.9087,0.9489,47913616.9060755,0.94964,0.8984,0.9206,64393,2022-12-02
458,0.9489,0.9027,23127435.6285475,0.95,0.8997,0.9221,42610,2022-12-03
459,0.9031,0.9214,18169612.4924784,0.9237,0.9013,0.9147,49404,2022-12-04
460,0.9213,0.9115,40114953.8946993,0.9452,0.8999,0.9209,71544,2022-12-05
461,0.9117,0.9176,25700459.5977427,0.9214,0.8965,0.9099,53546,2022-12-06
462,0.918,0.8978,38094738.5873619,0.9198,0.8707,0.8889,64876,2022-12-07
463,0.8979,0.9276,29827930.8043462,0.93113,0.8874,0.9083,51022,2022-12-08
464,0.9276,0.9097,22019274.7098118,0.93498,0.908,0.9196,43285,2022-12-09
465,0.9095,0.9082,14994521.9388193,0.91662,0.9006,0.9071,43133,2022-12-10
466,0.9084,0.8921,17661114.8914336,0.9154,0.8885,0.9044,41566,2022-12-11
