PLTR,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
437,10.15,9.62,44767950,10.16,9.51,9.6856,116616,2022-06-27 04:00:00
438,9.57,9.31,45683156,9.88,9.19,9.4407,102237,2022-06-28 04:00:00
439,9.35,9.23,40408663,9.42,9.07,9.1986,89989,2022-06-29 04:00:00
440,9.02,9.07,33636395,9.19,8.72,9.002,81569,2022-06-30 04:00:00
441,9.11,9.27,33482389,9.43,9.0305,9.2031,84336,2022-07-01 04:00:00
442,9.14,10.07,55913039,10.1,9,9.7181,124907,2022-07-05 04:00:00
443,10.01,9.8,54604339,10.31,9.74,9.9676,138794,2022-07-06 04:00:00
444,9.76,10.18,35672506,10.28,9.75,10.143,93913,2022-07-07 04:00:00
445,9.92,10.17,36737070,10.38,9.83,10.1476,87587,2022-07-08 04:00:00
446,9.98,9.56,34010399,9.9938,9.53,9.6568,85798,2022-07-11 04:00:00
447,9.66,9.49,42765812,9.9599,9.27,9.4924,99651,2022-07-12 04:00:00
448,9.22,9.28,32461304,9.55,9.05,9.3416,91825,2022-07-13 04:00:00
449,9.23,8.9,26702065,9.28,8.85,8.9723,82312,2022-07-14 04:00:00
450,9.01,9.04,34918133,9.12,8.65,8.8817,93962,2022-07-15 04:00:00
451,9.25,9.03,32428356,9.45,9.005,9.224,82860,2022-07-18 04:00:00
452,9.15,9.34,29033769,9.37,8.89,9.1695,69346,2022-07-19 04:00:00
453,9.44,10.11,40845162,10.2,9.44,9.9938,106588,2022-07-20 04:00:00
454,10.37,10.49,51691188,10.76,10.22,10.46,130927,2022-07-21 04:00:00
455,10.35,9.84,38915495,10.57,9.73,9.972,106985,2022-07-22 04:00:00
456,9.83,9.68,21484978,9.85,9.52,9.6596,78562,2022-07-25 04:00:00
457,9.66,9.4,21997819,9.66,9.38,9.4587,66528,2022-07-26 04:00:00
458,9.67,10.02,29810929,10.03,9.5,9.7748,76882,2022-07-27 04:00:00
459,10.03,10.13,27172854,10.2,9.74,10.0147,76457,2022-07-28 04:00:00
460,10.01,10.35,31106607,10.35,9.92,10.146,81298,2022-07-29 04:00:00
461,10.25,10.47,31694733,10.7,10.1216,10.4769,87085,2022-08-01 04:00:00
462,10.32,10.92,40958813,11.23,10.26,10.949,119450,2022-08-02 04:00:00
463,11.08,11.2,35796465,11.34,11.04,11.1975,96361,2022-08-03 04:00:00
464,11.19,11.32,32093381,11.41,11.03,11.229,97105,2022-08-04 04:00:00
465,11.01,11.45,50264847,11.62,10.85,11.3413,133462,2022-08-05 04:00:00
466,9.77,9.82,125272644,10.4,9.71,9.9788,358479,2022-08-08 04:00:00
467,9.54,9.25,58788927,9.57,9.01,9.2374,171003,2022-08-09 04:00:00
468,9.51,9.59,46054905,9.66,9.32,9.5218,116909,2022-08-10 04:00:00
469,9.76,9.42,44790863,10.05,9.4,9.6969,115486,2022-08-11 04:00:00
470,9.55,9.91,30638186,9.97,9.42,9.7997,79299,2022-08-12 04:00:00
471,9.82,9.91,33263354,10.1,9.76,9.9157,89781,2022-08-15 04:00:00
472,9.85,9.74,40681240,9.88,9.36,9.6289,103353,2022-08-16 04:00:00
473,9.56,9.43,33933634,9.6188,9.33,9.4561,87469,2022-08-17 04:00:00
474,9.42,9.15,26365589,9.47,9.12,9.2227,73912,2022-08-18 04:00:00
475,9,8.51,40560185,9.01,8.48,8.6123,126838,2022-08-19 04:00:00
476,8.32,8.07,37824865,8.4,8.06,8.1544,104451,2022-08-22 04:00:00
477,8.1,8.01,25658542,8.28,8,8.0965,71654,2022-08-23 04:00:00
478,8.04,8.1,26576407,8.36,7.98,8.1933,69760,2022-08-24 04:00:00
479,8.22,8.42,25635573,8.43,8.05,8.277,65714,2022-08-25 04:00:00
480,8.42,7.94,34150358,8.43,7.93,8.0694,102063,2022-08-26 04:00:00
481,7.82,7.81,28566219,7.9983,7.76,7.8517,91163,2022-08-29 04:00:00
482,7.93,7.79,27189202,7.975,7.68,7.7808,76080,2022-08-30 04:00:00
483,7.95,7.72,28691526,8,7.7,7.7892,73821,2022-08-31 04:00:00
484,7.61,7.49,39079702,7.62,7.22,7.3703,115676,2022-09-01 04:00:00
485,7.67,7.4,25965044,7.67,7.35,7.49,79809,2022-09-02 04:00:00
486,7.45,7.28,30429420,7.46,7.17,7.2888,76920,2022-09-06 04:00:00
487,7.27,7.39,30329957,7.43,7.18,7.2925,80375,2022-09-07 04:00:00
488,7.33,7.53,26303595,7.53,7.27,7.4383,63415,2022-09-08 04:00:00
489,7.68,7.79,27860611,7.82,7.64,7.7528,66245,2022-09-09 04:00:00
490,7.86,8.01,30544819,8.03,7.82,7.9449,68495,2022-09-12 04:00:00
491,7.63,7.48,29770663,7.66,7.45,7.5514,87753,2022-09-13 04:00:00
492,7.45,7.63,29422539,7.63,7.33,7.4975,70212,2022-09-14 04:00:00
493,7.47,8.01,51700626,8.1,7.45,7.929,122340,2022-09-15 04:00:00
494,7.75,7.78,42137338,7.93,7.64,7.7844,105402,2022-09-16 04:00:00
495,7.64,7.86,29238773,7.86,7.58,7.717,60307,2022-09-19 04:00:00
496,7.78,7.62,30349629,7.915,7.6,7.7598,68355,2022-09-20 04:00:00
497,7.72,7.69,36814509,8.07,7.655,7.8683,83113,2022-09-21 04:00:00
498,7.74,7.37,49138288,7.74,7.24,7.4649,116640,2022-09-22 04:00:00
499,7.2,7.4,34197320,7.42,7.13,7.2601,81502,2022-09-23 04:00:00
500,7.35,7.53,45429792,7.83,7.35,7.5826,84701,2022-09-26 04:00:00
501,7.69,7.63,31794676,7.835,7.46,7.6347,66445,2022-09-27 04:00:00
502,7.63,7.94,31955946,8,7.62,7.8813,77613,2022-09-28 04:00:00
503,8.05,8.08,57908658,8.33,7.78,8.0567,131791,2022-09-29 04:00:00
504,8.01,8.13,47454794,8.5,7.9709,8.2921,112988,2022-09-30 04:00:00
505,8.145,8.24,35523982,8.3,7.97,8.1504,90550,2022-10-03 04:00:00
506,8.48,8.46,36313344,8.61,8.34,8.4841,92318,2022-10-04 04:00:00
507,8.26,8.42,37790218,8.485,8.075,8.32,76853,2022-10-05 04:00:00
508,8.4,8.47,27653442,8.6,8.315,8.4407,56652,2022-10-06 04:00:00
509,8.26,8.15,29550481,8.28,8.11,8.188,64031,2022-10-07 04:00:00
510,8.17,8.06,26923337,8.18,7.88,7.9985,64631,2022-10-10 04:00:00
511,7.99,8.04,40775759,8.295,7.7,8.0374,82602,2022-10-11 04:00:00
512,8.06,8.07,30201563,8.1,7.82,7.9986,65812,2022-10-12 04:00:00
513,7.74,8.08,36040853,8.2,7.565,7.9379,86071,2022-10-13 04:00:00
514,8.23,7.53,37484777,8.31,7.53,7.7352,94410,2022-10-14 04:00:00
515,7.71,7.94,31751687,8.06,7.69,7.9382,71563,2022-10-17 04:00:00
516,8.15,8.16,37120360,8.33,8.04,8.1914,81970,2022-10-18 04:00:00
517,8.06,7.91,26593980,8.125,7.845,7.9504,57744,2022-10-19 04:00:00
518,7.73,8.04,26689513,8.26,7.73,8.0793,57827,2022-10-20 04:00:00
519,7.93,8.29,30705741,8.32,7.81,8.12,71197,2022-10-21 04:00:00
520,8.3,8.27,28062245,8.3,8.01,8.176,60169,2022-10-24 04:00:00
521,8.36,8.66,31001500,8.66,8.36,8.5482,73159,2022-10-25 04:00:00
522,8.48,8.57,33606930,9.05,8.39,8.7592,85159,2022-10-26 04:00:00
523,8.68,8.6,28940839,8.78,8.46,8.6295,69126,2022-10-27 04:00:00
524,8.55,8.64,20697363,8.66,8.365,8.5597,55187,2022-10-28 04:00:00
