PYPL,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
289,106.84,105,5373866,107.02,104.695,105.5361,51538,2019-10-29 04:00:00
290,105.29,106.5,4204919,106.6,103.96,105.6959,42079,2019-10-30 04:00:00
291,106.47,104.1,7200513,106.5,103.26,104.1553,55746,2019-10-31 04:00:00
292,104.7,104.98,5489839,105.3,103.93,104.7439,42784,2019-11-01 04:00:00
293,105.72,102.81,5818361,105.76,102.605,103.523,52985,2019-11-04 05:00:00
294,103.05,100.99,9236156,103.25,100.285,101.0645,76835,2019-11-05 05:00:00
295,101.2,100.63,7332216,101.34,100.17,100.6584,59759,2019-11-06 05:00:00
296,100.94,100.47,9088435,101.72,100.29,100.907,62957,2019-11-07 05:00:00
297,100.025,101.42,5451433,101.71,99.6,101.1314,46111,2019-11-08 05:00:00
298,101.04,102.67,5391050,103.04,100.66,102.4809,51799,2019-11-11 05:00:00
299,102.97,102.03,6715166,103.09,100.92,101.9814,59829,2019-11-12 05:00:00
300,102,102.12,5329359,103.6,101.63,102.4339,47394,2019-11-13 05:00:00
301,101.87,103.73,4980344,103.85,101.37,103.1633,44025,2019-11-14 05:00:00
302,104.35,104.2,5640361,104.48,103.105,103.8572,49538,2019-11-15 05:00:00
303,103.85,103.66,4831599,104.2,102.98,103.5267,46382,2019-11-18 05:00:00
304,104.08,104.95,7960162,106.17,104.0076,105.3381,65718,2019-11-19 05:00:00
305,105.22,104.09,5962021,105.38,103.12,104.1343,54680,2019-11-20 05:00:00
306,103,102.55,7525120,104.47,102.15,102.9522,65903,2019-11-21 05:00:00
307,102.92,101.77,6448811,103.23,100.72,101.5991,57382,2019-11-22 05:00:00
308,102.38,104.45,8338769,104.57,102.06,103.9679,63980,2019-11-25 05:00:00
309,104.8,106.2,13150051,106.78,104.5,106.153,77412,2019-11-26 05:00:00
310,106.89,107.75,7555124,108.24,106.8,107.7278,66859,2019-11-27 05:00:00
311,107.97,108.01,4439511,108.39,106.9,107.8093,33983,2019-11-29 05:00:00
312,107.96,106.21,7185204,108.49,104.65,106.0009,65614,2019-12-02 05:00:00
313,105,105.59,9062795,106.13,104.51,105.3938,76441,2019-12-03 05:00:00
314,106.29,105,7849569,106.29,104.655,105.1018,67694,2019-12-04 05:00:00
315,105.45,104.59,5637586,105.5,104.11,104.7035,50656,2019-12-05 05:00:00
316,104.79,104.34,7018440,105.3435,104.16,104.547,49948,2019-12-06 05:00:00
317,104.6,103.78,5681147,105.1,103.6,104.0735,53720,2019-12-09 05:00:00
318,103.77,103.62,5316693,104.13,103.26,103.6614,48478,2019-12-10 05:00:00
319,103.72,105.51,5782111,105.87,103.5902,104.8797,52373,2019-12-11 05:00:00
320,105.21,105.67,6380433,106.2199,104.13,105.4495,51488,2019-12-12 05:00:00
321,105.83,107.65,7001186,107.905,105.52,107.3466,59127,2019-12-13 05:00:00
322,108.4,109.57,8466723,109.828,108.35,109.3879,66929,2019-12-16 05:00:00
323,109.57,108.46,8168386,109.6,107.67,108.4398,67954,2019-12-17 05:00:00
324,108.86,107.83,6478284,109.47,107.76,108.2286,48778,2019-12-18 05:00:00
325,107.8,108.88,6590055,108.94,107.46,108.4882,44094,2019-12-19 05:00:00
326,109.28,108.75,9831071,109.62,108.13,108.857,44577,2019-12-20 05:00:00
327,109.05,108.61,4659074,109.45,108.38,108.7782,35403,2019-12-23 05:00:00
328,108.64,108.69,1679950,109.26,108.38,108.7834,17656,2019-12-24 05:00:00
329,109.13,109.75,4050317,109.75,108.57,109.3886,34145,2019-12-26 05:00:00
330,110.1665,109.4,3390317,110.18,108.9,109.4825,35037,2019-12-27 05:00:00
