AMZN,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
362,107.2495,107.4935,60635820,108.514,107.1,107.7355,85944,2020-02-13 05:00:00
363,107.784,106.7435,52123380,107.9518,106.2945,106.9706,74726,2020-02-14 05:00:00
364,106.251,107.7835,59021400,108.3035,106.2053,107.4024,87103,2020-02-18 05:00:00
365,108.39,108.511,51223300,109.255,108.056,108.778,76926,2020-02-19 05:00:00
366,108.6535,107.655,62626440,108.8395,106.3725,107.6764,88217,2020-02-20 05:00:00
367,107.1075,104.7985,92748800,107.2275,104.4,105.3894,131586,2020-02-21 05:00:00
368,100.159,100.4645,130715940,101.9648,99.3987,100.5177,227277,2020-02-24 05:00:00
369,101.321,98.637,122381880,101.73,97.921,99.4214,205343,2020-02-25 05:00:00
370,98.514,98.9795,104808040,100.7335,98.0225,99.3592,166985,2020-02-26 05:00:00
371,96.719,94.215,162879860,98.75,94.1381,96.0933,255921,2020-02-27 05:00:00
372,90.7315,94.1875,189875940,94.488,90.5565,92.522,310386,2020-02-28 05:00:00
373,95.3245,97.6975,135080220,97.7255,93.5,95.6916,200857,2020-03-02 05:00:00
374,98.7685,95.4495,150689820,99.8165,94.4045,97.0404,217758,2020-03-03 05:00:00
375,97.3285,98.7915,95289620,98.9,96.1,97.5866,133027,2020-03-04 05:00:00
376,96.65,96.2015,94964200,98.036,95.5,96.7081,137422,2020-03-05 05:00:00
377,93.75,95.0545,105471600,95.5435,93.475,94.3916,160142,2020-03-06 05:00:00
378,88.693,90.0305,156264640,93.1385,88.0645,90.9337,241612,2020-03-09 04:00:00
379,93.544,94.591,142666200,94.7135,90.9085,93.058,194021,2020-03-10 04:00:00
380,92.8925,91.043,112886620,93.566,90.075,91.7386,172916,2020-03-11 04:00:00
381,86.099,83.8305,226924280,88.25,83.75,85.3586,355932,2020-03-12 04:00:00
382,87.75,89.25,176194500,89.3155,84.031,86.7555,273400,2020-03-13 04:00:00
383,82.0755,84.4575,178345300,87.9726,81.3016,85.014,268234,2020-03-16 04:00:00
384,88.7735,90.392,215142580,92.8888,84.462,89.3921,332369,2020-03-17 04:00:00
385,87.5,91.5,192904360,92.083,87.25,89.9145,295614,2020-03-18 04:00:00
386,93,94.0465,207858860,97.25,91.6325,95.0584,298124,2020-03-19 04:00:00
387,96.3155,92.3045,196357000,97.85,91.0365,94.1396,277841,2020-03-20 04:00:00
388,91.3875,95.1415,156169780,95.97,90.6,93.7089,238476,2020-03-23 04:00:00
389,97.5748,97.005,142941600,97.75,95.017,96.5161,219520,2020-03-24 04:00:00
390,96.0345,94.292,129581460,97.513,94.289,95.5736,229012,2020-03-25 04:00:00
391,95.1,97.7745,124702360,97.8245,94.4645,96.2029,182616,2020-03-26 04:00:00
392,96.543,95.005,107757940,96.9895,94.996,95.7478,166886,2020-03-27 04:00:00
393,96.1415,98.1975,122521740,98.6815,95.617,97.6711,170631,2020-03-30 04:00:00
