SAM,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
783,524.3,525.19,224087,535.25,524.3,529.7434,7837,2021-10-14 04:00:00
784,525.19,511.36,298475,530.35,506.33,516.2073,11188,2021-10-15 04:00:00
785,507.22,507.01,279685,517.49,507.01,511.1423,10857,2021-10-18 04:00:00
786,509,510.27,309823,513.01,506,509.9099,10289,2021-10-19 04:00:00
787,512.97,511.52,337198,528.63,509.88,516.8439,9872,2021-10-20 04:00:00
788,512.5,517.22,470268,519.49,504.1,510.9212,17296,2021-10-21 04:00:00
789,496,525.64,961156,538.2,493.0529,524.3628,23034,2021-10-22 04:00:00
790,521.58,506.38,437951,529.41,503.7639,516.0376,14435,2021-10-25 04:00:00
791,507.5,500.14,378789,516.51,491.8801,500.1431,14505,2021-10-26 04:00:00
792,502.85,485.1,307356,503.11,479.8,485.8646,14283,2021-10-27 04:00:00
793,486.66,496.61,189887,497.3,483.71,492.8143,8552,2021-10-28 04:00:00
794,494.59,492.48,164015,502.54,490.2801,494.0318,6759,2021-10-29 04:00:00
795,491.68,505.05,148671,506.31,490,501.4401,7186,2021-11-01 04:00:00
796,505.05,496.62,175670,505.05,486.97,493.1269,9093,2021-11-02 04:00:00
797,495.15,507.73,173944,511,493.94,505.8521,8748,2021-11-03 04:00:00
798,503.2,505.2,179688,507.73,492.595,501.3038,8107,2021-11-04 04:00:00
799,501.99,502.71,127236,507.39,496.89,501.9718,6454,2021-11-05 04:00:00
800,500.57,491.64,209103,500.57,486.47,490.7771,11065,2021-11-08 05:00:00
801,491.14,484.97,160684,492.53,483.915,486.8968,8577,2021-11-09 05:00:00
802,487.13,470.46,315802,487.13,467.13,474.3868,14220,2021-11-10 05:00:00
803,472.72,468.32,220514,473.18,463.26,468.3628,9316,2021-11-11 05:00:00
804,471.77,479.65,301307,485.57,465.0101,478.0529,9975,2021-11-12 05:00:00
805,480,472.99,203315,480,468.35,473.2948,7969,2021-11-15 05:00:00
806,472.14,485.93,298218,491.94,471.3,484.2879,8833,2021-11-16 05:00:00
807,486.06,483.24,215393,486.8701,479.29,482.773,8742,2021-11-17 05:00:00
808,484.32,472.2,213531,484.32,468.9,473.0347,8466,2021-11-18 05:00:00
809,468.94,464.75,266826,478.17,462.86,466.945,10129,2021-11-19 05:00:00
810,465.7,458.94,290579,470.57,454.0801,461.149,12256,2021-11-22 05:00:00
811,455.47,460.27,428618,463.24,449.5,455.3326,12839,2021-11-23 05:00:00
812,460.27,464.33,217454,471.66,454.095,465.7219,9692,2021-11-24 05:00:00
813,456.51,454.64,138472,463.14,448.025,454.4733,7319,2021-11-26 05:00:00
814,460.06,442.37,306061,460.06,435.12,442.5221,15371,2021-11-29 05:00:00
815,435.67,451.17,987341,459.73,435.12,450.2295,17708,2021-11-30 05:00:00
816,453.86,438.31,235899,464.09,438.23,446.1998,9110,2021-12-01 05:00:00
817,439.5,460.85,243879,460.99,439.5,456.6835,8456,2021-12-02 05:00:00
818,459.65,460.4,204707,460.56,447.635,456.5198,9063,2021-12-03 05:00:00
819,473.2,492.26,419860,500.8999,460.5,490.4665,15146,2021-12-06 05:00:00
820,495.38,497.06,319713,505.33,489.93,499.3352,11315,2021-12-07 05:00:00
821,494.65,503.42,215842,506.59,488.995,501.1366,8478,2021-12-08 05:00:00
822,506.03,508.05,226301,511.66,499.63,506.481,8180,2021-12-09 05:00:00
823,510.1,511.05,191582,518.18,508,512.8571,7847,2021-12-10 05:00:00
824,510,532.27,308399,535.751,504.28,523.9408,11681,2021-12-13 05:00:00
825,529.89,518.5,262304,531,510.22,519.4406,9329,2021-12-14 05:00:00
826,514.02,524.93,215954,527,510.22,520.2276,7392,2021-12-15 05:00:00
827,524.11,510.83,257109,531.32,509.05,519.1536,8966,2021-12-16 05:00:00
828,507.91,531.8,404392,531.88,499.7562,527.0317,11591,2021-12-17 05:00:00
829,542.72,537.84,260795,547.71,526.9552,536.5216,10373,2021-12-20 05:00:00
830,539.63,527.87,162817,543.27,522.715,528.804,7747,2021-12-21 05:00:00
831,527,521.87,175777,529.4,515.51,521.3992,5818,2021-12-22 05:00:00
832,527.35,524.87,141581,527.35,513.02,520.7246,6158,2021-12-23 05:00:00
833,520.9,512.21,135520,526.49,510.94,515.8244,6287,2021-12-27 05:00:00
834,511.55,503.23,150024,511.55,501.33,504.8761,7234,2021-12-28 05:00:00
835,501.65,501.97,106855,508.8626,497.7872,503.5976,4941,2021-12-29 05:00:00
836,502.07,514.68,150317,517.77,502.07,511.0466,5729,2021-12-30 05:00:00
837,512.08,505.1,116451,515.5608,502.44,506.3483,5834,2021-12-31 05:00:00
838,503.54,520.2,123329,520.39,490.4601,512.43,5899,2022-01-03 05:00:00
