XRPUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
325,0.35806,0.3592,6639300.80679224,0.36275,0.34952,0.3568,10259,2022-07-23
326,0.35905,0.3585,6279313.79778574,0.3668,0.3558,0.3618,9175,2022-07-24
327,0.35849,0.33567,17349655.4039679,0.36003,0.335,0.3456,12873,2022-07-25
328,0.33598,0.33726,12284459.9297688,0.33872,0.32523,0.3331,10806,2022-07-26
329,0.33723,0.35929,16659843.5696349,0.3597,0.33034,0.3455,11774,2022-07-27
330,0.35929,0.37381,12099107.3994947,0.37931,0.34902,0.3642,14703,2022-07-28
331,0.37385,0.36794,13534894.2377986,0.38016,0.35983,0.3693,15133,2022-07-29
332,0.36795,0.38796,30526452.1234715,0.41,0.36295,0.393,23353,2022-07-30
333,0.38783,0.37904,11787620.2292975,0.39905,0.37805,0.389,13509,2022-07-31
334,0.37899,0.37921,12472569.7983102,0.38592,0.37085,0.378,12092,2022-08-01
335,0.37918,0.37143,10027788.6508011,0.39427,0.36666,0.3745,12416,2022-08-02
336,0.37152,0.36942,7819672.74143791,0.37747,0.3631,0.3707,9010,2022-08-03
337,0.36939,0.37072,5423497.91486321,0.37475,0.36404,0.3688,7294,2022-08-04
338,0.37106,0.37631,7124086.07254604,0.3785,0.36722,0.3736,8899,2022-08-05
339,0.37625,0.37109,2658365.52215906,0.37813,0.37001,0.3742,5178,2022-08-06
340,0.37113,0.37216,2325399.65224317,0.37705,0.36784,0.3723,4887,2022-08-07
341,0.37228,0.37861,6769270.27105957,0.38477,0.371,0.3801,8445,2022-08-08
342,0.37879,0.36702,8606353.50293369,0.38011,0.3602,0.3676,7590,2022-08-09
343,0.36702,0.38149,10701735.0099669,0.38155,0.3584,0.3705,9956,2022-08-10
344,0.38123,0.38011,5631255.34320487,0.38592,0.377,0.3812,8505,2022-08-11
345,0.38009,0.37959,4792558.66792353,0.38034,0.37,0.3752,7024,2022-08-12
346,0.3798,0.37795,4284838.65134199,0.38793,0.3762,0.3819,7603,2022-08-13
347,0.37777,0.37585,5877843.79179108,0.39213,0.3738,0.3825,10231,2022-08-14
348,0.3755,0.37508,7343894.65527321,0.385,0.3658,0.3729,10329,2022-08-15
349,0.37525,0.37683,6948467.80841826,0.37848,0.3666,0.3741,8579,2022-08-16
