GOOG,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
793,147.299,146.129,32418060,147.4245,144.7635,146.1402,95646,2021-10-28 04:00:00
794,145.52,148.2705,28954500,148.613,145.1665,147.4677,92958,2021-10-29 04:00:00
795,148.165,143.774,32122100,148.3995,143.5795,145.0938,99310,2021-11-01 04:00:00
796,144.8094,145.863,21150580,146.9205,144.641,145.8427,64914,2021-11-02 04:00:00
797,146.275,146.79,17886600,146.9105,145.0535,145.9937,56702,2021-11-03 04:00:00
798,147.2,148.683,24700800,149.95,146.635,148.6808,78120,2021-11-04 04:00:00
799,149.3535,149.241,20408140,150.5707,148.652,149.6474,68286,2021-11-05 04:00:00
800,150,149.3515,18388140,151.0345,149.12,149.6969,56580,2021-11-08 05:00:00
801,149.746,149.2485,16875560,150.3785,147.507,148.9404,65225,2021-11-09 05:00:00
802,148.0098,146.626,22702520,148.7,145.325,146.9917,80320,2021-11-10 05:00:00
803,147.107,146.748,12463100,148.5023,146.6945,147.3896,43226,2021-11-11 05:00:00
804,147.8315,149.6455,17047660,149.8595,146.454,148.8077,56348,2021-11-12 05:00:00
805,150,149.388,16247340,150.477,148.6525,149.5049,50689,2021-11-15 05:00:00
806,149.1705,149.076,17254860,149.8325,148.35,149.1478,53574,2021-11-16 05:00:00
807,149.229,149.062,15290820,149.626,148.563,149.0874,60858,2021-11-17 05:00:00
808,149.146,150.709,26682400,151.61,148.9985,150.5849,73404,2021-11-18 05:00:00
809,151,149.9525,19782960,151.85,149.8875,150.6199,79013,2021-11-19 05:00:00
810,150.1418,147.0785,24627700,150.7445,147.0055,148.1462,97488,2021-11-22 05:00:00
811,147.113,146.757,18133140,147.694,144.8895,146.2102,70743,2021-11-23 05:00:00
812,146.35,146.7175,16464060,147,145.199,146.3534,56428,2021-11-24 05:00:00
813,145.0155,142.806,16992120,145.297,142.4855,143.5358,79962,2021-11-26 05:00:00
814,144.2985,146.114,26276120,146.862,144.2985,145.8588,84669,2021-11-29 05:00:00
815,145.4503,142.452,41590520,146.6285,142.066,143.2258,107293,2021-11-30 05:00:00
816,144.2125,141.618,28545780,146.4991,141.5,144.0235,102251,2021-12-01 05:00:00
817,141.824,143.7765,21250700,144.675,140.982,143.3872,77891,2021-12-02 05:00:00
818,144.4955,142.5205,26687480,145.213,141.15,142.361,96536,2021-12-03 05:00:00
819,143.574,143.7965,22197700,144.3515,140.647,142.9736,76731,2021-12-06 05:00:00
820,145.95,148.0365,23258280,148.3,145.7025,147.5087,76779,2021-12-07 05:00:00
821,148.3315,148.7205,18963940,149.1565,147.2,148.2192,58366,2021-12-08 05:00:00
822,148.176,148.106,18580600,149.605,147.529,148.4981,63289,2021-12-09 05:00:00
823,149.1,148.675,21638460,149.4,147.3575,148.4848,63722,2021-12-10 05:00:00
824,148.444,146.7045,24103920,148.5625,146.36,147.0173,70238,2021-12-13 05:00:00
825,144.77,144.9705,24778800,145.442,142.2425,143.9567,93436,2021-12-14 05:00:00
826,144.366,147.3685,27280960,147.5173,142.7055,145.2471,93078,2021-12-15 05:00:00
827,148.077,144.8385,27399740,148.5515,144.0925,145.7507,91308,2021-12-16 05:00:00
828,142.7145,142.803,43404700,144.4601,141.788,142.9707,95002,2021-12-17 05:00:00
829,140.6796,142.4015,20263520,142.6105,140.25,141.4885,73635,2021-12-20 05:00:00
830,143.15,144.2205,19551940,144.6921,141.735,143.638,68763,2021-12-21 05:00:00
831,144.1,146.949,18346480,147.303,143.963,146.3527,63074,2021-12-22 05:00:00
832,147.0895,147.1425,13818680,148.5726,146.9508,147.6166,53770,2021-12-23 05:00:00
833,147.4635,148.064,13159320,148.4265,147.25,147.936,51144,2021-12-27 05:00:00
834,148.3745,146.448,18635840,148.3745,145.9355,146.7994,63841,2021-12-28 05:00:00
835,146.4295,146.5045,17024720,147.1838,145.5045,146.2897,58058,2021-12-29 05:00:00
836,146.45,146.0025,12977020,147.0625,145.7585,146.3289,47550,2021-12-30 05:00:00
837,145.544,144.6795,17297700,146.365,144.6775,145.1914,54970,2021-12-31 05:00:00
