PEP,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
699,148.86,147.1,5492088,149.27,146.75,147.7386,63783,2021-06-16 04:00:00
700,147.25,148.52,5316467,149,146.91,148.2467,68455,2021-06-17 04:00:00
701,147.98,145.42,10661672,147.98,145.23,146.1299,71543,2021-06-18 04:00:00
702,145.7527,146.56,4904511,146.74,145.45,146.2529,52653,2021-06-21 04:00:00
703,146.73,146.78,3517987,147.5032,146.285,146.9371,44418,2021-06-22 04:00:00
704,146.06,144.85,3901698,146.125,144.83,145.2053,54222,2021-06-23 04:00:00
705,144.86,145.67,3818927,145.94,144.61,145.5117,46969,2021-06-24 04:00:00
706,145.76,146.41,6387907,146.79,145.239,146.3001,49600,2021-06-25 04:00:00
707,146.76,147.04,4282905,147.5901,146.62,147.0536,45406,2021-06-28 04:00:00
708,147.445,146.94,3197991,147.7,146.4,146.9378,42624,2021-06-29 04:00:00
709,147.43,148.17,4943688,148.31,147.2,147.8234,57109,2021-06-30 04:00:00
710,148.08,148.2,3997616,149.08,147.935,148.3175,48752,2021-07-01 04:00:00
711,148.9,148.91,3835526,149.78,148.56,149.1653,46368,2021-07-02 04:00:00
712,149.07,149.13,4313848,149.415,147.77,148.7559,58108,2021-07-06 04:00:00
713,149.29,149.79,4224975,150.695,149,149.8648,50816,2021-07-07 04:00:00
714,149.42,149.86,4215959,150.67,149.19,149.6982,59765,2021-07-08 04:00:00
715,149.41,149.48,4088587,150.31,149.17,149.5245,54816,2021-07-09 04:00:00
716,149.49,149.51,4873671,149.795,148.78,149.372,60104,2021-07-12 04:00:00
717,151.15,152.96,8750828,153.9116,150.75,152.9048,104746,2021-07-13 04:00:00
718,152.89,154.54,6390323,155.14,152.8,154.4459,85413,2021-07-14 04:00:00
719,154.07,155.25,4920713,155.36,153.26,154.6683,69102,2021-07-15 04:00:00
720,155.68,155.82,5852919,156.835,155.11,155.8364,63084,2021-07-16 04:00:00
721,155.99,155.8,5750370,157.54,154.76,155.7277,85141,2021-07-19 04:00:00
722,156.2,155.82,5213868,157.33,155.56,156.0423,62015,2021-07-20 04:00:00
723,155.3,155.24,4906123,156.12,154.575,155.3032,61874,2021-07-21 04:00:00
724,155.19,155.19,3333589,155.76,153.972,155.0763,47697,2021-07-22 04:00:00
725,155.56,157.18,3588671,157.79,155.24,157.0247,47785,2021-07-23 04:00:00
726,156.79,157.07,2999894,157.47,156.03,156.9956,46378,2021-07-26 04:00:00
727,157.31,157.94,4043897,158.66,157.03,157.8609,63451,2021-07-27 04:00:00
728,157.6,156.49,3556918,157.96,155.909,156.6728,56968,2021-07-28 04:00:00
729,157.23,156.81,3055728,157.43,156.2,156.7606,44793,2021-07-29 04:00:00
730,157.37,156.95,3757332,157.6,156.62,157.0073,49882,2021-07-30 04:00:00
731,157,156.32,3426099,157.11,155.51,156.3293,52429,2021-08-02 04:00:00
732,157,156.67,3359870,157.15,156.31,156.7125,48676,2021-08-03 04:00:00
733,156.19,154.05,4846333,156.66,153.87,154.4115,63975,2021-08-04 04:00:00
734,154.98,154.31,3733574,155.19,153.87,154.3652,44348,2021-08-05 04:00:00
735,153.77,154.33,3430902,154.76,153.64,154.2714,49862,2021-08-06 04:00:00
736,154.64,154.35,2636653,154.79,153.71,154.2104,37322,2021-08-09 04:00:00
737,154.31,154.43,2670440,155.31,153.81,154.56,42082,2021-08-10 04:00:00
738,154.71,155.04,3058025,156.02,154.47,155.2528,47313,2021-08-11 04:00:00
739,155.23,155.07,1958683,155.3,154.6,155.0317,35012,2021-08-12 04:00:00
740,155.1,156.52,2113883,156.67,154.9,156.3207,35578,2021-08-13 04:00:00
741,156.93,158.05,3224020,158.12,156.7301,157.6937,44022,2021-08-16 04:00:00
742,157.9091,157.9,3736382,158.45,157.24,157.8187,50886,2021-08-17 04:00:00
743,157.68,156.28,3419286,158.2,156.2,156.7476,48010,2021-08-18 04:00:00
744,155.82,158.91,4745624,159.42,155.78,158.554,63196,2021-08-19 04:00:00
745,158.93,158.35,3484313,159.63,158.25,158.6895,47986,2021-08-20 04:00:00
746,157.83,157.85,3102117,158.52,157.3244,158.0627,41382,2021-08-23 04:00:00
747,157.75,155.89,3760779,157.75,155.68,156.1058,54059,2021-08-24 04:00:00
748,155.36,155.2,3346864,155.67,154.16,155.0602,47749,2021-08-25 04:00:00
749,155.51,154.63,3220727,155.67,154.09,154.6769,50160,2021-08-26 04:00:00
750,154.84,154.94,4166498,155.41,154.21,154.8631,43955,2021-08-27 04:00:00
