WBEV,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
186,1.55,1.55,43540,1.73,1.52,1.5917,310,2022-08-10 04:00:00
187,1.36,1.44,63010,1.53,1.355,1.4282,335,2022-08-11 04:00:00
188,1.43,1.375,18118,1.47,1.35,1.3889,99,2022-08-12 04:00:00
189,1.4199,1.36,9743,1.4199,1.35,1.3644,106,2022-08-15 04:00:00
190,1.39,1.38,34035,1.44,1.3428,1.3801,195,2022-08-16 04:00:00
191,1.42,1.33,11999,1.4489,1.33,1.3842,98,2022-08-17 04:00:00
192,1.44,1.41,18184,1.45,1.35,1.4109,148,2022-08-18 04:00:00
193,1.38,1.4,7564,1.41,1.3,1.3817,105,2022-08-19 04:00:00
194,1.42,1.22,41966,1.42,1.22,1.2863,271,2022-08-22 04:00:00
195,1.25,1.29,141307,1.6,1.2399,1.3798,454,2022-08-23 04:00:00
196,1.3,1.29,7046,1.3085,1.25,1.2885,59,2022-08-24 04:00:00
197,1.3301,1.32,2093,1.3301,1.3,1.3283,29,2022-08-25 04:00:00
198,1.34,1.295,4563,1.37,1.29,1.3285,46,2022-08-26 04:00:00
199,1.34,1.21,19254,1.34,1.19,1.2417,138,2022-08-29 04:00:00
200,1.2,1,55540,1.2,0.9494,1.0515,308,2022-08-30 04:00:00
201,0.98,1.07,22484,1.1,0.98,1.0726,128,2022-08-31 04:00:00
202,1.13,1.0674,3149,1.13,1.0476,1.089,45,2022-09-01 04:00:00
203,1.07,1.07,7959,1.1281,1.01,1.0578,107,2022-09-02 04:00:00
204,1.1,1.14,10767,1.14,1.02,1.0967,203,2022-09-06 04:00:00
205,1.14,1.22,24658,1.3,1.085,1.2339,285,2022-09-07 04:00:00
206,1.02,1.31,18422,1.31,1.02,1.2649,161,2022-09-08 04:00:00
207,1.32,1.31,9516,1.32,1.1285,1.2825,118,2022-09-09 04:00:00
208,1.32,1.3,32140,1.375,1.27,1.3361,267,2022-09-12 04:00:00
209,1.22,1.29,17572,1.3,1.22,1.2808,195,2022-09-13 04:00:00
210,1.29,1.21,15272,1.345,1.21,1.2925,138,2022-09-14 04:00:00
211,1.21,1.21,16912,1.28,1.165,1.2053,173,2022-09-15 04:00:00
212,1.33,0.71,73384,1.33,0.71,0.9502,305,2022-09-16 04:00:00
213,1.14,0.9,7263196,1.59,0.7501,1.1559,20866,2022-09-19 04:00:00
214,0.91,0.92,408382,0.92,0.65,0.8012,1613,2022-09-20 04:00:00
215,0.92,1.03,180594,1.1,0.8091,0.9753,1112,2022-09-21 04:00:00
216,1.13,1.04,94124,1.14,0.9,1.0483,592,2022-09-22 04:00:00
217,1.02,0.9456,33007,1.03,0.880101,0.9386,160,2022-09-23 04:00:00
218,0.9456,0.748,63311,0.95,0.7011,0.7685,317,2022-09-26 04:00:00
219,0.75,0.755,14151,0.810001,0.700601,0.7656,162,2022-09-27 04:00:00
220,0.83,0.88,55097,0.9,0.72,0.7901,269,2022-09-28 04:00:00
221,0.88,0.9109,51971,0.955,0.78,0.9049,299,2022-09-29 04:00:00
222,0.8843,0.892,33358,0.95,0.8445,0.9002,179,2022-09-30 04:00:00
223,0.95,0.9094,19298,0.9828,0.8993,0.9272,114,2022-10-03 04:00:00
224,0.8714,0.87,33394,0.9498,0.7501,0.8832,135,2022-10-04 04:00:00
225,0.9073,0.7282,142783,0.9398,0.71,0.7906,621,2022-10-05 04:00:00
226,0.757,0.7241,32161,0.7973,0.72,0.7442,125,2022-10-06 04:00:00
227,0.7431,0.691,65031,0.7455,0.6733,0.6976,163,2022-10-07 04:00:00
228,0.67,0.6984,14238,0.72,0.652,0.6844,138,2022-10-10 04:00:00
229,0.6665,0.6092,125230,0.688499,0.6,0.6205,250,2022-10-11 04:00:00
230,0.6192,0.629,121757,0.66,0.58,0.6207,304,2022-10-12 04:00:00
231,0.63,0.6,75891,0.6499,0.55,0.5919,259,2022-10-13 04:00:00
232,0.69,0.62,24940,0.69,0.55,0.611,140,2022-10-14 04:00:00
233,0.63,0.59,106726,0.65999,0.57,0.6202,299,2022-10-17 04:00:00
234,0.5723,0.63,23491,0.65,0.56,0.597,158,2022-10-18 04:00:00
