BTCUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
383,19417.64,19540.37,48101.9424812354,19694,18223.9,18959.4793,767019,2022-09-19
384,19538.28,18876.91,40600.3261819755,19638.46,18722,19142.4336,629848,2022-09-20
385,18875.84,18465.08,70161.8312622378,19981,18138.4,19044.9228,1014063,2022-09-21
386,18473,19401.24,72678.6394915619,19524,18358.63,19024.3399,886494,2022-09-22
387,19399.93,19286.01,49451.2561666374,19512,18529,18973.1443,810791,2022-09-23
388,19283.44,18923.19,20558.6232120071,19315,18805.1,19071.7201,512961,2022-09-24
389,18928.2,18808.61,20443.3055216724,19188,18619.88,18923.948,456555,2022-09-25
390,18806.29,19228,80865.8254769068,19333,18681.02,18986.0343,814588,2022-09-26
391,19226.94,19077.57,75960.7519468925,20385,18821.55,19793.162,1083233,2022-09-27
392,19079.28,19400,69909.0773498055,19791,18478,19089.146,974212,2022-09-28
393,19413.24,19594.94,48467.6339265602,19652,18845.3,19335.2776,808463,2022-09-29
394,19589,19425.2,54274.6843851085,20182.72,19150,19569.5525,806953,2022-09-30
395,19425.1,19315.27,9955.7942847081,19486.43,19157,19320.6131,562546,2022-10-01
396,19315.26,19059.17,17912.4893163868,19398.94,18923.81,19159.7899,648257,2022-10-02
397,19059.71,19633.46,42972.5848403428,19717.67,18958.29,19324.9944,1046707,2022-10-03
398,20022,20020.03,1.05736976,20030.7,20020.03,20027.3151,26,2022-10-04
399,20345.27,20161.62,44386.9303167873,20371.15,19750,20087.8687,1050330,2022-10-05
400,20162.15,19965.64,54016.9111287783,20455.79,19855.19,20131.4994,1037914,2022-10-06
401,19955.8,19532.92,46295.2219180918,20065.26,19325,19734.068,954546,2022-10-07
402,19531.08,19419.6,12309.6571407359,19628.78,19249.7,19472.0645,474937,2022-10-08
403,19420,19443.5,14566.2245371819,19563.28,19321,19454.272,437375,2022-10-09
404,19442.7,19132.83,33911.3020068656,19528.04,19000,19295.7158,651222,2022-10-10
405,19130.33,19058.11,48590.4250215916,19265.69,18855.19,19058.8682,808252,2022-10-11
406,19058.9,19155.92,30512.6595807953,19240.3,18937.3,19108.209,693387,2022-10-12
407,19152.64,19378.65,63659.6627758938,19515,18131,18821.2503,1002965,2022-10-13
408,19375.12,19178,53778.0639786792,19954.14,19076.83,19540.2622,915928,2022-10-14
409,19179.15,19069.6,11312.2023604625,19229.12,18983,19130.2286,452954,2022-10-15
410,19073,19267,10631.695408033,19428,19065.23,19209.1084,390301,2022-10-16
411,19261.61,19550.39,28888.9030712602,19684,19154.72,19458.9971,563302,2022-10-17
412,19557,19328.75,32977.9426999911,19709,19091.77,19455.8235,747026,2022-10-18
413,19328.75,19124.18,25311.978739957,19361,19062.1,19199.5499,654011,2022-10-19
414,19123.77,19042.48,32543.6985372923,19355,18900,19122.6952,781580,2022-10-20
415,19055,19166.45,28751.4348960706,19260,18657.1,19031.3566,698171,2022-10-21
416,19153.68,19209.1,6564.15724831059,19257.66,19110.46,19184.5031,324296,2022-10-22
417,19209.09,19572.43,15738.8882700538,19707,19070.92,19414.2428,447185,2022-10-23
418,19572.2,19330.44,33609.8516630926,19615,19158.2,19357.8582,685927,2022-10-24
419,19330.6,20086.28,49195.4049164047,20420.88,19230.4,19866.5708,833272,2022-10-25
420,20086.27,20790,52414.3095050508,21022.81,20055.85,20610.815,953799,2022-10-26
421,20775.39,20296.97,40947.8979827584,20892,20150.1,20590.9387,895412,2022-10-27
422,20295.77,20597.91,35716.3239696198,20767,20000,20382.4743,764455,2022-10-28
423,20596.52,20823.53,23705.7071722602,21091,20561.2,20820.293,689350,2022-10-29
424,20821.41,20630.68,16424.9868542492,20950,20523.92,20719.8483,480457,2022-10-30
425,20629.21,20489.93,27078.6324849465,20860,20237,20501.8704,547575,2022-10-31
426,20489.55,20486.5,24553.0272959799,20699,20326.55,20484.3369,596301,2022-11-01
427,20480.34,20151.4,50416.4741163179,20864.3,20059.53,20428.9086,718979,2022-11-02
428,20151.29,20206.88,30945.0727470479,20404,20032.02,20240.8829,678313,2022-11-03
