MNST,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
718,46.13,46.5,4303586,46.75,46.06,46.5269,27540,2021-07-14 04:00:00
719,46.515,46.81,5191914,46.94,46.4,46.731,26274,2021-07-15 04:00:00
720,46.85,46.535,3156566,47.03,46.515,46.6535,16873,2021-07-16 04:00:00
721,46.535,46.125,3846292,46.74,45.9313,46.1926,27421,2021-07-19 04:00:00
722,46.22,46.855,3116070,47.08,46.105,46.8203,22524,2021-07-20 04:00:00
723,46.81,46.675,2539686,47.225,46.57,46.7552,20180,2021-07-21 04:00:00
724,46.71,46.685,1728112,46.785,46.305,46.6468,14399,2021-07-22 04:00:00
725,47.48,48.145,3849236,48.47,47.28,48.1137,27477,2021-07-23 04:00:00
726,48.0375,48,3593984,48.2125,47.6,48.0001,26838,2021-07-26 04:00:00
727,48.125,47.59,6477382,48.29,47.3316,47.5764,33866,2021-07-27 04:00:00
728,47.585,47.025,3049506,47.745,46.865,47.1571,22301,2021-07-28 04:00:00
729,47.1,47.29,2538826,47.46,46.92,47.2484,21925,2021-07-29 04:00:00
730,47.39,47.16,3353092,47.54,47.025,47.1941,22837,2021-07-30 04:00:00
731,47.24,46.68,4080498,47.315,46.31,46.6743,26890,2021-08-02 04:00:00
732,46.835,46.52,3927636,46.98,46.1175,46.362,28158,2021-08-03 04:00:00
733,46.42,46.005,3063834,46.715,45.95,46.1486,25405,2021-08-04 04:00:00
734,46.285,45.975,4018454,46.3274,45.91,46.0679,26496,2021-08-05 04:00:00
735,47,48.485,9913408,49.25,47,48.3801,55569,2021-08-06 04:00:00
736,48.68,49.235,5505382,49.45,48.605,49.1923,34865,2021-08-09 04:00:00
737,49.4575,49.395,4372678,49.945,49.23,49.5707,28453,2021-08-10 04:00:00
738,49.55,49.36,2939336,49.81,49.185,49.4291,22733,2021-08-11 04:00:00
739,49.435,48.81,2373200,49.435,48.72,48.8817,19579,2021-08-12 04:00:00
740,48.795,49.06,2773050,49.1125,48.61,48.9651,18672,2021-08-13 04:00:00
741,49.18,49.21,2170094,49.29,48.905,49.1446,19683,2021-08-16 04:00:00
742,48.975,48.76,2442548,49.025,48.6725,48.7998,21208,2021-08-17 04:00:00
743,48.685,47.93,2100538,48.815,47.905,48.1388,18282,2021-08-18 04:00:00
744,47.57,48.59,2738504,48.645,47.45,48.412,22920,2021-08-19 04:00:00
745,48.68,48.37,2659996,48.925,48.26,48.4712,17971,2021-08-20 04:00:00
746,48.21,48.375,2027810,48.55,48.115,48.393,15758,2021-08-23 04:00:00
747,48.47,48.315,1992042,48.47,47.865,48.2117,18591,2021-08-24 04:00:00
748,48.32,48.565,1989928,48.645,48.085,48.4891,15691,2021-08-25 04:00:00
749,48.57,48.42,1929656,48.6895,48.33,48.4615,18026,2021-08-26 04:00:00
750,48.505,48.665,1971844,48.895,48.3,48.6441,17656,2021-08-27 04:00:00
751,48.695,48.905,1742838,48.9525,48.5425,48.7993,14377,2021-08-30 04:00:00
752,48.985,48.785,3100672,49,48.585,48.7638,20337,2021-08-31 04:00:00
753,48.89,48.9,2856026,49.0975,48.595,48.8941,21866,2021-09-01 04:00:00
754,48.99,48.8,2093380,49.2,48.619,48.7878,18452,2021-09-02 04:00:00
755,48.55,48.79,2285432,48.8802,48.1127,48.7529,15095,2021-09-03 04:00:00
756,48.68,47.59,3090234,48.68,47.535,47.7883,25686,2021-09-07 04:00:00
757,47.56,48.42,2353744,48.445,47.505,48.2478,19175,2021-09-08 04:00:00
758,48.455,48.175,1935452,48.555,48.095,48.2363,19218,2021-09-09 04:00:00
759,48.245,47.96,2228970,48.28,47.94,48.0792,20542,2021-09-10 04:00:00
760,48.27,47.695,2609596,48.465,47.6,47.8041,21439,2021-09-13 04:00:00
761,47.81,47.48,3079812,48.1,47.415,47.6042,21127,2021-09-14 04:00:00
762,47.5,47.57,3116226,47.875,47.18,47.6263,22806,2021-09-15 04:00:00
763,47.455,47.94,2151680,48.0175,47.2351,47.7886,19976,2021-09-16 04:00:00
764,47.3277,47.32,6246702,47.945,46.905,47.4,22233,2021-09-17 04:00:00
765,47.1175,46.395,3491690,47.13,45.985,46.4155,26161,2021-09-20 04:00:00
766,46.58,45.9,2792398,46.87,45.87,46.1116,20279,2021-09-21 04:00:00
767,46.205,46.285,3050332,46.61,45.675,46.2974,23361,2021-09-22 04:00:00
768,46.3,46.545,2892712,46.78,46.245,46.5605,21757,2021-09-23 04:00:00
769,46.37,46.37,2748488,46.695,46.075,46.3086,20244,2021-09-24 04:00:00
770,46.085,45.895,3183498,46.295,45.64,45.9179,21301,2021-09-27 04:00:00
771,45.66,44.75,4337144,45.795,44.5925,44.9502,30766,2021-09-28 04:00:00
772,44.75,44.665,2852850,45.02,44.61,44.7922,22899,2021-09-29 04:00:00
773,44.955,44.415,4632950,45.05,44.405,44.6528,31474,2021-09-30 04:00:00
774,44.79,44.94,3895756,45.09,44.18,44.8006,24609,2021-10-01 04:00:00
775,44.935,44.25,5636130,45.185,44.06,44.3868,30518,2021-10-04 04:00:00
776,44.38,44.775,3174818,45.02,44.26,44.7545,20438,2021-10-05 04:00:00
777,44.445,45.05,3152672,45.165,44.275,44.8211,21995,2021-10-06 04:00:00
778,45.435,45.035,3716510,45.715,44.995,45.3255,24396,2021-10-07 04:00:00
779,45.135,44.635,3273642,45.285,44.595,44.8067,23280,2021-10-08 04:00:00
780,44.51,44.025,2235412,44.625,43.965,44.252,17657,2021-10-11 04:00:00
781,44.03,43.97,3097128,44.405,43.835,44.0936,21246,2021-10-12 04:00:00
782,42.9875,42.665,5975844,43.47,42.47,42.7581,38605,2021-10-13 04:00:00
783,42.98,42.8,7239916,43.23,42.633,42.8973,36685,2021-10-14 04:00:00
784,42.905,42.79,7120136,43.17,42.58,42.8372,28658,2021-10-15 04:00:00
785,42.6,42.715,3552594,43.01,42.425,42.7424,22407,2021-10-18 04:00:00
786,42.735,42.5,6439134,42.835,42.205,42.5237,34065,2021-10-19 04:00:00
787,43.02,42.465,6481900,43.02,42.44,42.5844,25364,2021-10-20 04:00:00
788,42.515,42.625,8226030,42.765,42.3,42.5437,20934,2021-10-21 04:00:00
789,42.84,42.365,2767214,43.02,42.245,42.4902,19031,2021-10-22 04:00:00
790,42.34,42.19,4687360,42.46,42.025,42.2287,25112,2021-10-25 04:00:00
791,42.375,42.79,5747718,42.96,42.29,42.748,29615,2021-10-26 04:00:00
792,43,42.44,4402134,43,41.85,42.4728,30456,2021-10-27 04:00:00
793,42.55,42.45,3151598,42.82,42.165,42.4391,22136,2021-10-28 04:00:00
794,42.45,42.5,5403068,42.695,42.375,42.5029,24214,2021-10-29 04:00:00
