FIZZ,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
943,48.88,48.94,121101,49.89,48.795,49.1356,3740,2022-06-03 04:00:00
944,49.3,48.83,104944,49.72,48.48,48.9042,3868,2022-06-06 04:00:00
945,48.29,49.24,131148,49.99,48.29,49.3408,3529,2022-06-07 04:00:00
946,48.89,48.74,118864,49.225,47.99,48.6645,3911,2022-06-08 04:00:00
947,48.72,47.64,74494,49.1,47.6,48.053,2946,2022-06-09 04:00:00
948,46.74,46.82,124718,47.43,46.42,46.8742,3536,2022-06-10 04:00:00
949,46.25,44.4,227286,46.99,44.1,44.8467,5008,2022-06-13 04:00:00
950,44.69,44.08,159156,45.29,43.75,44.1134,4572,2022-06-14 04:00:00
951,44.73,45.19,178373,45.81,44.33,45.3127,4835,2022-06-15 04:00:00
952,44.59,43.99,125016,44.59,43.68,44.1069,4041,2022-06-16 04:00:00
953,44.24,44.46,208044,45.02,44.24,44.5148,4676,2022-06-17 04:00:00
954,45.59,45.44,202892,46.23,43.88,45.5006,4595,2022-06-21 04:00:00
955,45.18,45.28,134521,46.56,44.255,45.2554,3399,2022-06-22 04:00:00
956,45.45,46.62,124345,46.65,45.45,46.2821,4099,2022-06-23 04:00:00
957,47.27,48.64,300970,48.86,46.8552,48.4647,5039,2022-06-24 04:00:00
958,48.92,48.9,223128,49.23,47.74,48.7508,4374,2022-06-27 04:00:00
959,49.11,48.14,177400,49.61,47.39,48.3965,4647,2022-06-28 04:00:00
960,47.87,47.98,111222,48.89,47.38,48.0798,3332,2022-06-29 04:00:00
961,47.23,48.94,405444,49.02,46.31,48.4199,7049,2022-06-30 04:00:00
962,49.13,49.48,170445,49.96,48.7585,49.3989,4759,2022-07-01 04:00:00
963,48.95,50.97,267327,50.98,48.54,50.4753,6024,2022-07-05 04:00:00
964,51.04,50.86,171443,51.67,50.06,50.8179,4290,2022-07-06 04:00:00
965,50.85,50.75,150065,50.965,50.2,50.5939,3886,2022-07-07 04:00:00
966,50.32,50.32,122698,50.86,49.505,50.2017,3023,2022-07-08 04:00:00
967,49.89,49.28,120058,50.22,49.14,49.4997,3906,2022-07-11 04:00:00
968,49.43,48.6,119269,49.52,48.13,48.7135,3111,2022-07-12 04:00:00
969,48.21,48.12,117415,48.99,47.73,48.1789,3016,2022-07-13 04:00:00
970,47.47,48.28,89008,49.14,47.22,47.9333,2620,2022-07-14 04:00:00
971,48.8,48.62,115964,48.8,48.01,48.4793,3234,2022-07-15 04:00:00
972,49.13,47.59,150670,49.185,47.42,48.031,3298,2022-07-18 04:00:00
973,48,48.14,171194,48.745,47.27,48.1803,3797,2022-07-19 04:00:00
974,48.37,49.18,161873,49.55,47.6,48.8907,4289,2022-07-20 04:00:00
975,49.26,49.35,101835,49.64,48.67,49.2764,2595,2022-07-21 04:00:00
976,49.66,48.59,113689,49.66,48.165,48.6061,3511,2022-07-22 04:00:00
977,48.59,49.26,80207,49.58,48.4833,49.2415,2807,2022-07-25 04:00:00
978,49.36,51.31,146171,51.37,48.8801,50.6292,3740,2022-07-26 04:00:00
979,51.27,51.45,174061,51.81,50.03,51.0042,4814,2022-07-27 04:00:00
980,51.69,52.68,98658,52.775,51.23,52.4161,2713,2022-07-28 04:00:00
981,52.65,54.18,194046,54.39,51.92,53.8298,4325,2022-07-29 04:00:00
982,53.98,54.51,114278,54.925,53.69,54.5279,3669,2022-08-01 04:00:00
983,54.18,54.03,108604,54.725,53.649,54.1411,3477,2022-08-02 04:00:00
984,54.35,54.55,89770,54.9,53.57,54.4567,3050,2022-08-03 04:00:00
985,54.47,54.5,84794,54.75,53.99,54.424,2756,2022-08-04 04:00:00
986,54.44,53.92,131692,54.48,53.27,53.8779,3056,2022-08-05 04:00:00
987,53.92,54.44,111129,55.32,53.73,54.4234,3077,2022-08-08 04:00:00
988,54.41,53.92,136362,54.85,53.7,53.9989,2869,2022-08-09 04:00:00
989,54.62,54.65,95799,54.91,53.9,54.6305,2797,2022-08-10 04:00:00
990,54.86,54.8,75097,55.31,54.5143,54.8757,3197,2022-08-11 04:00:00
991,55.07,55.74,68275,55.79,54.67,55.4306,2654,2022-08-12 04:00:00
992,55.72,55.91,200059,57.12,55.5,56.1075,5844,2022-08-15 04:00:00
993,55.91,56.88,93644,57,55.4,56.7115,2908,2022-08-16 04:00:00
994,56.85,56.97,80059,57.1392,56.26,56.8286,3272,2022-08-17 04:00:00
995,57,57.6,128028,57.65,56.2695,57.3045,4028,2022-08-18 04:00:00
996,57.44,55.66,164122,57.52,55.33,56.1227,4182,2022-08-19 04:00:00
997,55.18,55.68,140301,55.995,54.8368,55.5461,3249,2022-08-22 04:00:00
998,55.44,55.65,87295,55.955,55.0187,55.5299,3126,2022-08-23 04:00:00
999,55.64,56.32,65514,56.39,55.495,56.2096,2369,2022-08-24 04:00:00
1000,56.42,57.25,99699,57.3,55.6927,56.9881,3164,2022-08-25 04:00:00
1001,57.01,56.48,81579,57.55,56.25,56.6188,2962,2022-08-26 04:00:00
1002,56.09,55.78,79441,56.71,55.5805,56.1157,2658,2022-08-29 04:00:00
1003,56.22,55.48,107991,56.44,55.15,55.6881,3322,2022-08-30 04:00:00
1004,55.71,55.46,101371,56.03,55.16,55.4334,2933,2022-08-31 04:00:00
1005,55.21,55.13,113593,55.22,54.15,54.8071,3876,2022-09-01 04:00:00
1006,55.6,53.29,111039,55.6,52.82,53.6995,3390,2022-09-02 04:00:00
1007,53.2,51.01,243860,53.2,50.87,51.5118,5901,2022-09-06 04:00:00
1008,51.18,50.71,205062,51.18,49.4,50.2928,5885,2022-09-07 04:00:00
1009,50.22,50.66,207900,51.42,49.11,50.5699,5458,2022-09-08 04:00:00
1010,48.16,46.93,543318,49.015,45.2112,46.8163,10832,2022-09-09 04:00:00
1011,46.57,45.87,350130,46.57,44.47,45.5582,10237,2022-09-12 04:00:00
1012,45.08,42.91,284219,45.1274,42.675,43.3731,7840,2022-09-13 04:00:00
1013,42.93,42.08,284008,42.93,41.07,41.8068,6296,2022-09-14 04:00:00
1014,41.92,41.89,208700,42.285,41.41,41.8011,5569,2022-09-15 04:00:00
1015,41.74,42.21,393415,42.29,41.235,41.926,6352,2022-09-16 04:00:00
1016,41.81,42.28,175243,42.48,41.4,42.0336,4864,2022-09-19 04:00:00
1017,41.79,41.32,238031,41.79,40.89,41.3106,5353,2022-09-20 04:00:00
1018,41.66,40.62,158339,41.84,40.62,41.0139,3800,2022-09-21 04:00:00
1019,40.44,40.33,190923,40.62,40.12,40.3203,4455,2022-09-22 04:00:00
1020,40.14,40.56,207310,40.83,39.78,40.4755,5453,2022-09-23 04:00:00
1021,40.5,40.39,206597,41.15,40.13,40.4814,4704,2022-09-26 04:00:00
1022,40.65,40.29,268822,41.11,39.98,40.376,5492,2022-09-27 04:00:00
1023,40.32,40.21,181572,40.61,39.78,40.2709,5974,2022-09-28 04:00:00
1024,39.93,39.08,245648,40.1,38.4,39.002,7474,2022-09-29 04:00:00
1025,39.26,38.54,323386,39.7499,38.47,38.838,6708,2022-09-30 04:00:00
1026,38.71,39.11,141367,39.4,38.57,39.078,4859,2022-10-03 04:00:00
1027,39.65,40.58,190754,40.635,39.65,40.4184,5656,2022-10-04 04:00:00
1028,40.4,40.45,153072,40.7,39.67,40.3552,4247,2022-10-05 04:00:00
1029,40.3,39.78,150605,40.58,39.68,40.0747,4466,2022-10-06 04:00:00
1030,39.5,39,177778,39.5,38.78,39.0134,4685,2022-10-07 04:00:00
1031,39.15,40.34,155130,40.48,38.94,40.0543,5211,2022-10-10 04:00:00
1032,40.01,40.6,191481,40.675,39.93,40.4807,5013,2022-10-11 04:00:00
1033,40.87,41.69,215604,41.805,40.46,41.4916,5829,2022-10-12 04:00:00
1034,41.2,42.78,160409,43.1399,41.065,42.5259,4856,2022-10-13 04:00:00
1035,43.22,41.82,194328,43.22,41.519,41.9523,4206,2022-10-14 04:00:00
1036,42.41,42.45,131546,42.99,42.275,42.5599,3793,2022-10-17 04:00:00
1037,42.71,43.11,118826,43.87,42.54,43.0492,3083,2022-10-18 04:00:00
1038,42.77,42.37,123319,42.96,41.66,42.2157,3629,2022-10-19 04:00:00
1039,42.28,40.57,129971,42.28,40.57,40.9934,4052,2022-10-20 04:00:00
1040,40.6,41.62,121823,41.84,40.11,41.3917,4003,2022-10-21 04:00:00
1041,41.87,43.01,135815,43.14,41.65,42.6354,3897,2022-10-24 04:00:00
1042,43.11,43.91,95967,44,43.04,43.8123,2784,2022-10-25 04:00:00
1043,43.93,44.46,75212,44.59,43.61,44.3838,2802,2022-10-26 04:00:00
1044,44.84,44.95,87941,45.67,44.69,45.1357,3030,2022-10-27 04:00:00
1045,45.18,46.78,107880,46.81,45.02,46.3887,4110,2022-10-28 04:00:00
1046,46.47,47.42,155298,48.44,46.47,47.6343,4844,2022-10-31 04:00:00
1047,47.6,47.16,100449,47.68,46.76,47.1369,3207,2022-11-01 04:00:00
1048,47.15,46.93,118938,48.39,46.78,47.3158,4276,2022-11-02 04:00:00
1049,47.05,46.34,213464,47.05,45.36,46.0875,6260,2022-11-03 04:00:00
1050,46.87,46.59,113351,47.33,46.07,46.5781,3366,2022-11-04 04:00:00
1051,47.07,47.37,230699,47.42,46.39,47.1135,4547,2022-11-07 05:00:00
1052,47.58,46.52,111059,47.58,45.74,46.5239,4019,2022-11-08 05:00:00
