AAPL,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
697,127.82,130.48,96906490,130.54,127.07,129.6322,563595,2021-06-14 04:00:00
698,129.94,129.64,62725532,130.6,129.39,129.8358,416230,2021-06-15 04:00:00
699,130.37,130.15,91793025,130.89,128.461,130.0001,619028,2021-06-16 04:00:00
700,129.8,131.79,96721669,132.55,129.65,131.5645,652025,2021-06-17 04:00:00
701,130.71,130.46,108890309,131.51,130.24,130.7868,557039,2021-06-18 04:00:00
702,130.3,132.3,79269216,132.41,129.21,131.4999,506660,2021-06-21 04:00:00
703,132.13,133.98,73713618,134.08,131.62,133.0905,481082,2021-06-22 04:00:00
704,133.77,133.7,60214200,134.32,133.23,133.7872,424752,2021-06-23 04:00:00
705,134.45,133.41,68710998,134.64,132.93,133.7663,443492,2021-06-24 04:00:00
706,133.46,133.11,70783746,133.89,132.81,133.2362,358692,2021-06-25 04:00:00
707,133.41,134.78,61941303,135.245,133.35,134.8066,454433,2021-06-28 04:00:00
708,134.8,136.33,64291681,136.49,134.35,135.9422,442545,2021-06-29 04:00:00
709,136.17,136.96,63234093,137.41,135.87,136.8187,419352,2021-06-30 04:00:00
710,136.6,137.27,52417031,137.33,135.76,136.6708,388276,2021-07-01 04:00:00
711,137.9,139.96,78945572,140,137.745,139.1986,521793,2021-07-02 04:00:00
712,140.07,142.02,108081776,143.15,140.07,141.7417,733637,2021-07-06 04:00:00
713,143.535,144.57,104899789,144.89,142.66,144.0183,732815,2021-07-07 04:00:00
714,141.58,143.24,104225458,144.06,140.665,142.5427,772469,2021-07-08 04:00:00
715,142.75,145.11,99890799,145.65,142.6522,144.7844,635911,2021-07-09 04:00:00
716,146.21,144.5,76276717,146.32,144,144.7868,516633,2021-07-12 04:00:00
717,144.03,145.64,100798598,147.46,143.63,146.0546,697061,2021-07-13 04:00:00
718,148.1,149.15,127014683,149.57,147.68,148.8217,797729,2021-07-14 04:00:00
719,149.24,148.48,106559516,150,147.09,148.4417,698332,2021-07-15 04:00:00
720,148.46,146.39,93219926,149.76,145.88,147.6247,613155,2021-07-16 04:00:00
721,143.75,142.45,121434571,144.07,141.67,142.6131,939624,2021-07-19 04:00:00
722,143.46,146.15,96324436,147.0997,142.96,145.5723,614255,2021-07-20 04:00:00
723,145.53,145.4,74031460,146.13,144.63,145.3658,473574,2021-07-21 04:00:00
724,145.935,146.8,77287356,148.195,145.81,146.991,480209,2021-07-22 04:00:00
725,147.55,148.56,71447416,148.7177,146.92,148.0368,457247,2021-07-23 04:00:00
726,148.27,148.99,72434089,149.83,147.7,149.1182,489114,2021-07-26 04:00:00
727,149.12,146.77,104803028,149.21,145.55,146.8324,785621,2021-07-27 04:00:00
728,144.81,144.98,118931191,146.97,142.54,144.8875,829463,2021-07-28 04:00:00
729,144.685,145.64,56699475,146.55,144.58,145.8064,416123,2021-07-29 04:00:00
730,144.38,145.86,70440626,146.33,144.11,145.3967,466325,2021-07-30 04:00:00
731,146.36,145.52,61351461,146.95,145.25,145.8599,458358,2021-08-02 04:00:00
732,145.81,147.36,63536618,148.045,145.18,146.7499,462817,2021-08-03 04:00:00
733,147.27,146.95,56357771,147.79,146.28,147.0473,402501,2021-08-04 04:00:00
734,146.98,147.06,46216322,147.84,146.17,147.1115,356212,2021-08-05 04:00:00
735,146.35,146.14,53854313,147.11,145.63,146.2139,374119,2021-08-06 04:00:00
736,146.2,146.09,48858689,146.7,145.52,146.1113,352471,2021-08-09 04:00:00
737,146.44,145.6,68286400,147.71,145.3,146.1315,431274,2021-08-10 04:00:00
738,146.05,145.86,48493463,146.72,145.53,146.0228,365446,2021-08-11 04:00:00
739,146.19,148.89,73771613,149.05,145.84,148.0103,514669,2021-08-12 04:00:00
740,148.97,149.1,59375009,149.4444,148.27,148.9194,407900,2021-08-13 04:00:00
741,148.535,151.12,103558782,151.19,146.47,149.4001,704850,2021-08-16 04:00:00
742,150.23,150.19,92202535,151.68,149.09,150.2473,624238,2021-08-17 04:00:00
743,149.8,146.36,86285490,150.72,146.15,148.2985,647599,2021-08-18 04:00:00
744,145.03,146.7,86753154,148,144.5,146.4409,639427,2021-08-19 04:00:00
745,147.44,148.19,60249630,148.5,146.78,147.8157,413517,2021-08-20 04:00:00
746,148.31,149.71,60105710,150.19,147.89,149.4893,428947,2021-08-23 04:00:00
747,149.45,149.62,48605228,150.86,149.15,149.9034,370055,2021-08-24 04:00:00
748,149.81,148.36,58691297,150.32,147.8,148.5982,460865,2021-08-25 04:00:00
749,148.35,147.54,48597195,149.12,147.51,148.1147,382720,2021-08-26 04:00:00
750,147.48,148.6,54858888,148.75,146.83,148.1201,405190,2021-08-27 04:00:00
751,149,153.12,90756723,153.49,148.61,152.1466,659666,2021-08-30 04:00:00
752,152.66,151.83,85962417,152.8,151.29,152.0192,534512,2021-08-31 04:00:00
753,152.83,152.51,80207311,154.98,152.34,153.7673,593508,2021-09-01 04:00:00
754,153.87,153.65,71171317,154.72,152.4,153.6101,519974,2021-09-02 04:00:00
755,153.76,154.3,57866066,154.63,153.09,154.0218,431686,2021-09-03 04:00:00
756,154.97,156.69,83620937,157.26,154.39,156.1841,628035,2021-09-07 04:00:00
757,156.98,155.11,74396207,157.04,153.975,155.1093,598135,2021-09-08 04:00:00
758,155.49,154.07,57305730,156.11,153.95,154.8505,469366,2021-09-09 04:00:00
759,155,148.97,140829235,155.48,148.7,150.9988,1168239,2021-09-10 04:00:00
760,150.63,149.55,104246371,151.42,148.75,149.6982,760230,2021-09-13 04:00:00
761,150.35,148.12,112148523,151.07,146.91,148.8369,808779,2021-09-14 04:00:00
762,148.56,149.03,84825078,149.44,146.37,148.0322,635894,2021-09-15 04:00:00
763,148.44,148.79,67981149,148.97,147.221,148.151,501847,2021-09-16 04:00:00
764,148.82,146.06,129840322,148.82,145.76,146.6992,713537,2021-09-17 04:00:00
765,143.8,142.94,123462362,144.84,141.27,142.7526,1022141,2021-09-20 04:00:00
766,143.93,143.43,75833962,144.6,142.78,143.74,578041,2021-09-21 04:00:00
767,144.45,145.85,76404341,146.43,143.7001,145.4092,548480,2021-09-22 04:00:00
768,146.65,146.83,64727170,147.08,145.64,146.6924,472238,2021-09-23 04:00:00
769,145.66,146.92,53475569,147.4701,145.56,146.4928,400154,2021-09-24 04:00:00
770,145.47,145.37,74150726,145.96,143.82,145.1074,529650,2021-09-27 04:00:00
771,143.25,141.91,108955840,144.75,141.69,142.6723,823805,2021-09-28 04:00:00
772,142.47,142.83,73592044,144.45,142.03,143.3984,528983,2021-09-29 04:00:00
773,143.66,141.5,90816408,144.378,141.28,142.4016,660868,2021-09-30 04:00:00
774,141.9,142.65,94606681,142.92,139.1101,141.1056,730084,2021-10-01 04:00:00
775,141.76,139.14,98322008,142.21,138.27,139.2908,828320,2021-10-04 04:00:00
776,139.49,141.11,80861062,142.24,139.36,140.9927,562855,2021-10-05 04:00:00
777,139.47,142,82821118,142.15,138.37,140.3828,610961,2021-10-06 04:00:00
778,143.06,143.29,61732655,144.215,142.72,143.6657,450794,2021-10-07 04:00:00
779,144.03,142.9,59892052,144.1781,142.56,143.1747,423540,2021-10-08 04:00:00
780,142.27,142.81,63952219,144.81,141.81,143.6675,399220,2021-10-11 04:00:00
781,143.23,141.51,73035859,143.25,141.0401,141.8587,526042,2021-10-12 04:00:00
782,141.235,140.91,78762121,141.4,139.2,140.3071,600890,2021-10-13 04:00:00
783,142.11,143.76,69891600,143.88,141.51,143.2173,447186,2021-10-14 04:00:00
784,143.77,144.84,67642684,144.895,143.51,144.3214,429707,2021-10-15 04:00:00
785,143.445,146.55,85389174,146.84,143.16,145.4235,544217,2021-10-18 04:00:00
786,147.01,148.76,76378894,149.17,146.55,148.329,532883,2021-10-19 04:00:00
787,148.7,149.26,58418788,149.7539,148.12,149.0905,437977,2021-10-20 04:00:00
788,148.81,149.48,61345990,149.64,147.87,149.0317,418119,2021-10-21 04:00:00
789,149.69,148.69,58855143,150.18,148.64,149.2955,437719,2021-10-22 04:00:00
790,148.68,148.64,50220555,149.37,147.6211,148.5067,425021,2021-10-25 04:00:00
791,149.33,149.32,60893393,150.84,149.0101,149.5911,459692,2021-10-26 04:00:00
792,149.36,148.85,56094929,149.73,148.49,149.1193,407592,2021-10-27 04:00:00
793,149.82,152.57,100064388,153.165,149.72,151.5945,749706,2021-10-28 04:00:00
794,147.215,149.8,124953168,149.94,146.4128,148.3331,863685,2021-10-29 04:00:00
795,148.985,148.96,74588257,149.7,147.8,148.8099,529659,2021-11-01 04:00:00
796,148.66,150.02,69121986,151.57,148.65,150.3583,517391,2021-11-02 04:00:00
797,150.39,151.49,54511532,151.97,149.82,150.9171,399115,2021-11-03 04:00:00
798,151.58,150.96,60394613,152.43,150.64,151.3974,457989,2021-11-04 04:00:00
799,151.89,151.28,65163883,152.2,150.06,151.0887,424255,2021-11-05 04:00:00
800,151.41,150.44,55020868,151.57,150.16,150.8187,416754,2021-11-08 05:00:00
801,150.2,150.81,56787930,151.428,150.0601,150.792,455006,2021-11-09 05:00:00
802,150.02,147.92,65160017,150.13,147.85,148.6034,544210,2021-11-10 05:00:00
803,148.96,147.87,40699950,149.43,147.681,148.169,338584,2021-11-11 05:00:00
804,148.43,149.99,63804006,150.4,147.48,149.3536,404421,2021-11-12 05:00:00
805,150.37,150,59182803,151.88,149.43,150.2881,422055,2021-11-15 05:00:00
806,149.94,151,59256210,151.488,149.34,150.6976,388990,2021-11-16 05:00:00
807,150.995,153.49,88807000,155,150.99,153.5371,625976,2021-11-17 05:00:00
808,153.71,157.87,137777673,158.67,153.05,156.3264,865061,2021-11-18 05:00:00
809,157.65,160.55,117264897,161.02,156.5328,159.5736,816964,2021-11-19 05:00:00
810,161.68,161.02,117427889,165.7,161,163.5891,890334,2021-11-22 05:00:00
811,161.12,161.41,96022899,161.8,159.0601,160.3405,712377,2021-11-23 05:00:00
812,160.75,161.94,69263623,162.14,159.64,161.1093,505241,2021-11-24 05:00:00
813,159.565,156.81,76940752,160.45,156.36,157.8439,666767,2021-11-26 05:00:00
814,159.37,160.24,88498217,161.19,158.7901,160.1333,663948,2021-11-29 05:00:00
815,159.985,165.3,173958056,165.52,159.92,163.775,1139625,2021-11-30 05:00:00
816,167.48,164.77,152303002,170.3,164.53,167.6855,1191148,2021-12-01 05:00:00
817,158.735,163.76,136739174,164.2,157.8,161.8301,1163153,2021-12-02 05:00:00
818,164.02,161.84,117949416,164.96,159.72,161.8243,950980,2021-12-03 05:00:00
819,164.29,165.32,107496982,167.8799,164.28,165.8234,840677,2021-12-06 05:00:00
820,169.08,171.18,120356951,171.58,168.34,170.5609,834819,2021-12-07 05:00:00
821,172.125,175.08,116982099,175.96,170.7,174.0176,871401,2021-12-08 05:00:00
822,174.91,174.56,108923738,176.75,173.92,175.277,786129,2021-12-09 05:00:00
823,175.205,179.45,115402731,179.63,174.69,177.2721,855797,2021-12-10 05:00:00
824,181.115,175.74,153237019,182.13,175.53,178.5988,1148448,2021-12-13 05:00:00
825,175.25,174.33,139356181,177.74,172.21,174.4001,985603,2021-12-14 05:00:00
826,175.11,179.3,131063257,179.5,172.3108,176.0771,937053,2021-12-15 05:00:00
827,179.28,172.26,150185842,181.14,170.75,174.4138,1202731,2021-12-16 05:00:00
828,169.93,171.14,194579041,173.47,169.69,171.2628,994729,2021-12-17 05:00:00
829,168.28,169.75,107499114,170.58,167.46,169.2626,816118,2021-12-20 05:00:00
830,171.555,172.99,91167005,173.2,169.12,171.4815,651088,2021-12-21 05:00:00
831,173.04,175.64,92135303,175.86,172.15,174.3316,643554,2021-12-22 05:00:00
