LTCUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
303,53.82,51.141,479142.244290477,56.25,50.01,52.0256,74824,2022-07-01
304,51.15,50.5,246137.771711761,51.656,49.69,50.6297,52735,2022-07-02
305,50.47,50.86,242536.68785058,52.28,49.05,50.3809,44224,2022-07-03
306,50.86,52.2,262156.829890939,52.435,49.65,50.9017,44281,2022-07-04
307,52.2,49.65,424188.444320244,52.48,47.856,49.8155,61298,2022-07-05
308,49.65,50.29,323976.449133627,51.25,48.9,49.9338,54284,2022-07-06
309,50.29,52.091,276613.981353746,52.6,49.72,50.8729,49440,2022-07-07
310,52.13,51.31,309858.725435937,53.98,50.718,52.328,55674,2022-07-08
311,51.33,54.05,216729.426403898,54.82,51.3,52.7072,44051,2022-07-09
312,54.05,52.09,318036.692428663,55.1,50.628,53.2357,52056,2022-07-10
313,52.12,48.67,263553.008743129,52.26,48.185,50.5683,48041,2022-07-11
314,48.68,47.28,274093.640037137,49.372,47.197,48.3622,46473,2022-07-12
315,47.255,49.52,357193.853805831,49.727,46.31,47.9862,55307,2022-07-13
316,49.564,51.32,285584.381799077,51.769,47.9,49.7915,48951,2022-07-14
317,51.335,51.735,335609.467512354,52.76,50.6,51.5594,56222,2022-07-15
318,51.778,55.09,280001.478062517,55.67,51.029,53.3207,54812,2022-07-16
319,55.05,55.7,287549.636196605,57.047,54.41,55.5515,54390,2022-07-17
320,55.75,58.58,434877.388521851,59.337,55.21,57.5754,77883,2022-07-18
321,57.89,57.94,7.13638366,57.94,57.89,57.9214,8,2022-07-19
322,57.91,57.21,506284.209415318,61.8,56.25,58.9115,66558,2022-07-20
323,57.2,58.03,283321.586567847,58.7,55.16,56.829,48668,2022-07-21
324,58.01,56.09,238372.386927033,59.22,55.521,57.6213,53351,2022-07-22
325,56.1,56.34,250325.277088283,57.28,54.48,55.9229,44072,2022-07-23
326,56.34,58.37,212414.208026518,59.79,56.296,58.118,45161,2022-07-24
327,58.4,54.02,262033.795013609,59.027,53.88,56.2054,45882,2022-07-25
328,54,53.9,256556.445880095,54.17,51.96,52.9934,45225,2022-07-26
329,53.89,59.07,338253.626512119,59.08,53.01,55.6963,55492,2022-07-27
330,59.035,63.43,494816.96724002,64.3,57.98,61.1766,77109,2022-07-28
331,63.41,60.71,351677.891215682,64.679,59.75,61.9978,65936,2022-07-29
332,60.71,60.44,444538.916222993,64.25,59.933,62.0963,67696,2022-07-30
333,60.417,59.76,272744.254750215,63.069,59.614,61.2807,45629,2022-07-31
334,59.723,59.47,357732.893407529,60.75,58.252,59.4574,60605,2022-08-01
335,59.48,58.09,317779.279949776,59.87,56.625,58.123,52054,2022-08-02
336,58.1,57.78,240667.873616039,60.189,56.71,58.4713,45775,2022-08-03
337,57.77,59.64,248914.118089766,60.81,57.6,59.1195,50333,2022-08-04
338,59.65,62.49,232774.012724904,62.59,59.61,61.3276,56569,2022-08-05
339,62.51,60.84,118542.290702382,62.57,60.438,61.5012,37322,2022-08-06
340,60.86,61.12,154569.149542557,62.03,59.829,61.1409,36236,2022-08-07
341,61.1,62.61,258461.043208421,64.17,60.79,62.7484,44004,2022-08-08
342,62.6,59.18,285459.376298145,62.87,58.224,60.3463,57855,2022-08-09
