DOGEUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
301,0.06599,0.06939,435957169.27509,0.07168,0.06402,0.0675,75582,2022-06-29
302,0.0695,0.0664,474530159.585715,0.06965,0.0621321,0.0651,82012,2022-06-30
303,0.0664,0.06641,360387735.513252,0.06876,0.06377,0.0659,67593,2022-07-01
304,0.06641,0.06658,205669744.492646,0.068052,0.0654,0.0667,43106,2022-07-02
305,0.06657,0.06711,174327404.039248,0.067494,0.06474,0.0663,32738,2022-07-03
306,0.06711,0.0693,221506961.462337,0.069785,0.065561,0.0678,39444,2022-07-04
307,0.06929,0.06709,203227668.50517,0.069998,0.0654,0.0678,39209,2022-07-05
308,0.06708,0.06833,230895553.058305,0.069329,0.06609,0.0678,40929,2022-07-06
309,0.06833,0.07051,220853937.953636,0.07119,0.06782,0.0698,42157,2022-07-07
310,0.07052,0.06907,270593135.235441,0.07349,0.068163,0.0704,49183,2022-07-08
311,0.068974,0.06945,103687314.36725,0.07018,0.068723,0.0695,26221,2022-07-09
312,0.06946,0.06722,179601491.898772,0.06947,0.06619,0.0674,30949,2022-07-10
313,0.06725,0.06168,261237857.539041,0.067261,0.0611,0.0643,43253,2022-07-11
314,0.06172,0.05977,165519126.842411,0.063138,0.059588,0.0614,33900,2022-07-12
315,0.05972,0.0619,329809062.286052,0.062318,0.057364,0.0599,53329,2022-07-13
316,0.06191,0.06243,218950431.522206,0.062844,0.05939,0.0612,38330,2022-07-14
317,0.06245,0.06293,239090849.138968,0.064441,0.06157,0.0631,42323,2022-07-15
318,0.06291,0.06435,196581756.078727,0.064878,0.06171,0.0634,34080,2022-07-16
319,0.06437,0.06306,168076403.863224,0.065575,0.062859,0.0642,31057,2022-07-17
320,0.06306,0.06757,377186559.135038,0.06895,0.062956,0.0665,65079,2022-07-18
321,0.06754,0.06902,351023757.608904,0.070337,0.06538,0.068,64202,2022-07-19
322,0.06902,0.07015,700303333.199322,0.076999,0.0676,0.0723,109427,2022-07-20
323,0.07014,0.06999,234090886.911372,0.07094,0.066908,0.0689,41408,2022-07-21
324,0.06996,0.06745,205823544.289684,0.0718,0.066681,0.0695,41837,2022-07-22
325,0.06739,0.06803,153531044.004756,0.06952,0.065887,0.0676,34209,2022-07-23
326,0.06804,0.06754,138225806.895497,0.068977,0.067153,0.0683,29050,2022-07-24
327,0.06754,0.06196,249013735.189859,0.068055,0.061671,0.0647,39022,2022-07-25
328,0.06193,0.06255,191406583.294317,0.06271,0.060071,0.0614,33383,2022-07-26
329,0.06255,0.06725,257067827.456793,0.06726,0.06178,0.0642,41803,2022-07-27
330,0.06724,0.06909,455862148.597693,0.07088,0.065163,0.0681,63302,2022-07-28
331,0.0691,0.06881,437349630.062615,0.072495,0.0669,0.0696,66846,2022-07-29
332,0.06881,0.06966,458861588.950083,0.0746,0.06792,0.0711,69678,2022-07-30
333,0.0697,0.06808,259397562.88012,0.07226,0.067791,0.0702,55520,2022-07-31
334,0.0681,0.06845,308967056.633237,0.07134,0.06682,0.0686,77224,2022-08-01
335,0.06849,0.06654,219837375.817498,0.069143,0.0653983,0.067,52491,2022-08-02
336,0.06653,0.06625,189516680.079216,0.068468,0.065097,0.0669,37984,2022-08-03
337,0.06625,0.06725,166002811.413397,0.067661,0.065687,0.0667,39180,2022-08-04
338,0.06727,0.0698,230628041.358379,0.07031,0.067148,0.069,49150,2022-08-05
339,0.0698,0.06864,187626331.334321,0.07131,0.068347,0.0698,40549,2022-08-06
340,0.06864,0.06896,127035762.007851,0.0700587,0.067258,0.0689,30373,2022-08-07
341,0.06896,0.07015,279591706.243212,0.07257,0.06884,0.0705,41638,2022-08-08
342,0.07013,0.06906,414547519.637125,0.07427,0.06776,0.0709,58140,2022-08-09
343,0.06905,0.07128,305377128.743656,0.07151,0.066548,0.0698,45504,2022-08-10
344,0.07129,0.0709,293032890.901585,0.0755497,0.070414,0.0722,48302,2022-08-11
345,0.0709,0.07235,176783020.129878,0.0729277,0.069684,0.0713,43072,2022-08-12
346,0.07234,0.07296,294409486.404723,0.08,0.071744,0.0735,53731,2022-08-13
347,0.07298,0.08169,987411686.737983,0.08472,0.072611,0.0791,137395,2022-08-14
348,0.08173,0.07664,611393466.251336,0.0821047,0.074604,0.0779,88907,2022-08-15
349,0.07662,0.08677,1332342285.50611,0.09,0.07617,0.0842,165805,2022-08-16
350,0.08676,0.0801151,717936400.880209,0.0890216,0.079314,0.0837,94478,2022-08-17
351,0.08024,0.07474,390698150.62942,0.08228,0.0727765,0.0792,61885,2022-08-18
352,0.074811,0.06774,666127173.59011,0.07532,0.06701,0.0703,110328,2022-08-19
353,0.06774,0.06936,372343807.153389,0.07121,0.067577,0.0694,64383,2022-08-20
354,0.06932,0.06935,247590457.448685,0.070791,0.067355,0.0691,47143,2022-08-21
355,0.0693,0.06839,290685517.959326,0.069442,0.065146,0.0671,49844,2022-08-22
356,0.0684,0.06881,182802968.654852,0.069254,0.066852,0.0684,37557,2022-08-23
357,0.06884,0.06791,192613435.693468,0.069709,0.06703,0.0683,40771,2022-08-24
358,0.06791,0.06899,226358320.099203,0.071877,0.06763,0.0694,46516,2022-08-25
359,0.06898,0.06354,437348290.335067,0.07022,0.0627081,0.0667,62296,2022-08-26
360,0.06351,0.06353,252069081.970363,0.064199,0.06221,0.0634,43424,2022-08-27
