WTER,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
821,12,11.7345,30291.2,12,11.475,11.763,1629,2022-03-15 04:00:00
822,11.775,12.0075,39083.6667,12.3,11.7,11.9955,1519,2022-03-16 04:00:00
823,11.925,12.9,30907.8667,13.0995,11.736,12.7485,1333,2022-03-17 04:00:00
824,13.0515,14.3265,52945.0667,14.34,13.05,13.7625,2544,2022-03-18 04:00:00
825,14.3325,13.275,33193.3333,14.3325,13.068,13.569,1583,2022-03-21 04:00:00
826,13.3185,13.35,29366.6,13.794,13.23,13.3785,1460,2022-03-22 04:00:00
827,13.2,13.8,22736.0667,14.1,13.05,13.6365,1353,2022-03-23 04:00:00
828,14.133,14.3265,35735.7333,14.7,13.65,14.2275,2291,2022-03-24 04:00:00
829,14.55,15.15,77451.8667,15.3,14.4,14.889,2813,2022-03-25 04:00:00
830,15.15,14.6085,37099.9333,15.3,14.265,14.769,2022,2022-03-28 04:00:00
831,14.4,14.553,21524.0667,14.6085,14.2995,14.5305,1008,2022-03-29 04:00:00
832,14.4,13.7205,35080.2,14.5485,13.65,14.142,1509,2022-03-30 04:00:00
833,13.7205,13.8,25910.6667,13.95,13.5,13.74,1180,2022-03-31 04:00:00
834,13.965,13.41,28654.7333,14.25,13.2,13.674,1415,2022-04-01 04:00:00
835,13.5,13.8,26343.5333,13.8,13.2,13.5585,1248,2022-04-04 04:00:00
836,13.5,13.098,154707.2667,14.85,12.75,13.746,4070,2022-04-05 04:00:00
837,12.75,12.873,35274.6,13.2,12.45,12.6615,1768,2022-04-06 04:00:00
838,12.873,12.45,42552.4667,13.05,12.15,12.498,1750,2022-04-07 04:00:00
839,12.6,12.705,29158,12.75,12.15,12.558,1399,2022-04-08 04:00:00
840,12.6,12.6855,23176.2,12.9,12.3,12.5475,847,2022-04-11 04:00:00
841,12.75,12.7395,29862.7333,13.185,12.465,12.7605,1222,2022-04-12 04:00:00
842,12.5955,12.9,27130.1333,13.05,12.4125,12.7065,1361,2022-04-13 04:00:00
843,12.9,12.51,28372.9333,12.9,12.3,12.5355,874,2022-04-14 04:00:00
844,12.6,12.096,34344.7333,12.6,12,12.1605,1348,2022-04-18 04:00:00
845,12.0135,12.45,18587.6667,12.6,12,12.345,1118,2022-04-19 04:00:00
846,12.75,12.897,37359,12.915,12.15,12.6885,1569,2022-04-20 04:00:00
847,12.3,12.2175,17772.5333,12.9,12.1425,12.4845,984,2022-04-21 04:00:00
848,12.135,12.0735,23484.7333,12.285,11.9625,12.0285,899,2022-04-22 04:00:00
849,11.85,12.1425,27565,12.3,11.715,11.949,1002,2022-04-25 04:00:00
850,12.0945,11.961,24214.1333,12.45,11.7,11.8935,1228,2022-04-26 04:00:00
851,11.9415,11.9595,33720.0667,12.15,11.715,11.964,994,2022-04-27 04:00:00
852,12.135,11.814,29239.1333,12.15,11.559,11.8365,1163,2022-04-28 04:00:00
853,11.85,11.6865,18603.4,12,11.442,11.6835,757,2022-04-29 04:00:00
854,11.4,11.325,21090.6,11.7,11.25,11.4045,924,2022-05-02 04:00:00
855,11.25,11.235,45736,11.55,10.875,11.2005,1811,2022-05-03 04:00:00
856,11.112,11.166,81032.6,11.2365,10.5,10.659,2645,2022-05-04 04:00:00
857,8.475,8.394,358635.5333,8.7675,8.25,8.4735,7372,2022-05-05 04:00:00
858,8.55,7.8285,94268.9333,8.625,7.725,8.127,3109,2022-05-06 04:00:00
859,7.5,6.825,171234,7.6275,6.75,7.188,5416,2022-05-09 04:00:00
860,7.05,7.0665,89036.9333,7.5,6.825,7.065,3434,2022-05-10 04:00:00
861,7.2,6.2625,132106,7.35,6.0465,6.564,3598,2022-05-11 04:00:00
862,6.246,6.204,79876.3333,6.417,6.0015,6.186,3052,2022-05-12 04:00:00
863,6.663,6.375,76986.9333,6.675,6.3,6.444,2443,2022-05-13 04:00:00
864,6.75,6.5805,63070.8667,6.9405,6.453,6.6975,1976,2022-05-16 04:00:00
865,6.732,7.05,30874.9333,7.1355,6.732,6.9105,1386,2022-05-17 04:00:00
866,7.05,6.4515,51965.2,7.125,6.45,6.66,1592,2022-05-18 04:00:00
867,6.45,6.2745,85234.8667,6.5984,6.165,6.3015,3927,2022-05-19 04:00:00
868,6.3,5.745,109952.2667,6.4425,5.73,5.997,3948,2022-05-20 04:00:00
869,5.9745,5.8305,117600.0667,5.991,5.355,5.6655,2830,2022-05-23 04:00:00
870,5.7,5.37,73184.1333,5.895,5.25,5.4525,3857,2022-05-24 04:00:00
871,5.1,5.796,76126.2,5.796,4.9515,5.4585,1393,2022-05-25 04:00:00
872,5.85,6.435,86286.6,6.5415,5.658,6.1395,1675,2022-05-26 04:00:00
873,6.3435,6.6,50995.7333,7.05,6.3315,6.6105,1691,2022-05-27 04:00:00
874,6.4455,6.6,48696.4,6.6,6.15,6.417,2129,2022-05-31 04:00:00
875,6.72,6.3885,26772.0667,7.05,6.27,6.5205,1233,2022-06-01 04:00:00
876,6.3,6.8985,62389.6,6.9,6.3,6.633,1249,2022-06-02 04:00:00
877,7.7655,7.047,131446.6667,7.7805,6.6825,7.191,2948,2022-06-03 04:00:00
878,7.05,7.044,45656.1333,7.4445,6.75,7.0665,2811,2022-06-06 04:00:00
879,6.9,6.9,40843.3333,7.311,6.75,7.0155,1760,2022-06-07 04:00:00
880,7.35,7.437,38669.8,7.635,7.05,7.4235,1636,2022-06-08 04:00:00
881,7.641,7.731,47996.6667,7.8735,7.5645,7.731,2166,2022-06-09 04:00:00
882,7.569,7.3485,36205.4,7.65,7.14,7.389,1512,2022-06-10 04:00:00
883,7.3485,6.627,59335.9333,7.65,6.45,6.7665,2272,2022-06-13 04:00:00
884,6.45,5.76,69037.7333,6.75,5.739,6.2595,3535,2022-06-14 04:00:00
885,5.982,5.9715,58712.8,6.2535,5.8515,6.03,2587,2022-06-15 04:00:00
886,5.9715,6.4485,30562,6.45,5.8515,6.222,1576,2022-06-16 04:00:00
887,6.45,6,37539.6667,6.45,6,6.1905,1346,2022-06-17 04:00:00
888,6.327,6.1485,24305.6667,6.42,6.045,6.1815,751,2022-06-21 04:00:00
889,6.075,6.15,29332.3333,6.4035,6,6.144,1283,2022-06-22 04:00:00
890,6.15,6.2565,20048.3333,6.408,6.15,6.27,954,2022-06-23 04:00:00
891,6.375,5.9115,25983.6,6.4065,5.9115,6.144,1020,2022-06-24 04:00:00
892,6,6.0345,28702.2,6.207,5.925,6.0195,1361,2022-06-27 04:00:00
893,6.075,5.9235,27637.6,6.147,5.82,5.961,985,2022-06-28 04:00:00
894,5.9235,5.8755,35221.7333,6.063,5.7165,5.8365,1011,2022-06-29 04:00:00
895,5.7,5.895,40124.0667,5.895,5.49,5.739,1229,2022-06-30 04:00:00
896,5.7465,5.7225,31021.0667,6,5.5515,5.7078,1282,2022-07-01 04:00:00
897,5.895,5.7165,20632.0667,5.895,5.55,5.6916,984,2022-07-05 04:00:00
898,6.3,6.0795,33228.8667,6.3585,5.7765,5.9901,1162,2022-07-06 04:00:00
899,6.405,7.005,80083,7.2,6.3,6.9198,2377,2022-07-07 04:00:00
900,7.332,7.05,61232,7.4835,6.9,7.2195,2440,2022-07-08 04:00:00
901,7.47,7.8,245088.4667,9.6,7.425,8.4375,5394,2022-07-11 04:00:00
902,8.7075,7.956,104627.3333,8.85,7.5,8.1642,2592,2022-07-12 04:00:00
903,7.8,7.794,33101.4,8.0775,7.65,7.8185,1768,2022-07-13 04:00:00
904,7.8,7.4355,71600.7333,8.061,7.215,7.62,2472,2022-07-14 04:00:00
905,7.452,7.05,87374.3333,7.527,6.3615,6.8355,2994,2022-07-15 04:00:00
906,6.6015,6.75,45028.1333,7.05,6.5265,6.7222,1548,2022-07-18 04:00:00
907,6.7965,6.648,37836,6.8145,6.45,6.612,1547,2022-07-19 04:00:00
908,6.6,7.0455,64316,7.05,6.6,6.8733,1525,2022-07-20 04:00:00
909,7.128,7.0125,39490.1333,7.3185,6.7515,6.9923,1121,2022-07-21 04:00:00
910,7.0125,6.7905,97605.8667,7.7985,6.639,7.1612,1995,2022-07-22 04:00:00
911,6.9,6.4185,52795.6,6.9,6.3,6.4959,1067,2022-07-25 04:00:00
912,6.315,6.099,34449.4,6.6735,6.0645,6.3306,1150,2022-07-26 04:00:00
913,6.099,6.15,35607.6667,6.3,5.94,6.1967,1222,2022-07-27 04:00:00
914,6.1455,6.3495,37165.8667,6.588,6,6.2712,1384,2022-07-28 04:00:00
915,6.36,6.42,22684.4,6.5985,6.3533,6.4809,1069,2022-07-29 04:00:00
916,6.741,7.35,102531,7.8,6.6,7.2762,2475,2022-08-01 04:00:00
917,7.2675,7.47,28637.9333,7.4985,7.2,7.3226,1891,2022-08-02 04:00:00
918,7.5,6.957,84730.4667,7.5,6.75,7.0256,2973,2022-08-03 04:00:00
919,6.9,7.2,27751.6,7.2,6.9,7.0449,1148,2022-08-04 04:00:00
920,7.2,6.924,19918.6,7.2,6.9,7.0449,857,2022-08-05 04:00:00
921,7.2,7.245,44234.4667,7.335,6.9,7.242,1138,2022-08-08 04:00:00
922,7.2,7.05,13495.0667,7.26,6.9,7.0611,919,2022-08-09 04:00:00
923,6.9,7.08,84631.5333,7.23,6.45,6.8037,1613,2022-08-10 04:00:00
924,7.0215,7.074,28200.6667,7.2,6.9,7.1018,1297,2022-08-11 04:00:00
925,7.1235,7.5075,57594.4,7.6185,7.005,7.3653,1530,2022-08-12 04:00:00
926,7.2825,7.7985,41753.8,7.8,7.2825,7.6965,1145,2022-08-15 04:00:00
927,7.95,7.7625,46592.5333,7.95,7.35,7.5771,1402,2022-08-16 04:00:00
928,7.5,7.8,38159.4,7.8,7.353,7.5372,1321,2022-08-17 04:00:00
929,7.5,7.9485,43314.4667,8.025,7.383,7.7505,1742,2022-08-18 04:00:00
