TSLA,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
1032,227.62,225.41,30473954,229.06,224.11,226.3341,349682,2022-10-11 04:00:00
1033,225.4,225.75,21903937,227.86,223.96,225.9151,260518,2022-10-12 04:00:00
1034,219.85,234.24,42551818,236.1,219.13,230.3739,489794,2022-10-13 04:00:00
1035,235.54,228.56,30198588,237.24,228.34,230.805,342373,2022-10-14 04:00:00
1036,235.82,237.53,28142268,238.96,235.135,237.102,305966,2022-10-17 04:00:00
1037,243.24,238.5,26329591,243.93,235.37,239.04,325506,2022-10-18 04:00:00
1038,237.04,236.48,19985698,239.61,234.29,236.6482,232870,2022-10-19 04:00:00
1039,235.77,236.15,21811015,241.31,234.87,237.1951,255775,2022-10-20 04:00:00
1040,234.74,242.12,26299733,243,234.5,239.3394,290614,2022-10-21 04:00:00
1041,243.76,247.25,24781432,247.84,241.295,245.3763,321981,2022-10-24 04:00:00
1042,247.26,250.66,34775505,251.04,245.83,247.9143,431898,2022-10-25 04:00:00
1043,231.17,231.32,82684846,238.3,230.06,233.5731,979052,2022-10-26 04:00:00
1044,231.04,226.75,40424645,233.69,225.78,227.6391,502651,2022-10-27 04:00:00
1045,226.24,235.87,40647724,236.6,226.05,233.1644,453458,2022-10-28 04:00:00
1046,233.76,232.13,28357265,234.92,231.15,232.713,310749,2022-10-31 04:00:00
1047,234.6,228.17,30582271,235.74,227.325,229.2736,355473,2022-11-01 04:00:00
1048,229.46,220.1,38400237,231.3,220.04,224.7701,463714,2022-11-02 04:00:00
1049,220.09,214.25,36633922,220.41,213.98,216.6521,461770,2022-11-03 04:00:00
1050,217.55,221.39,36789063,221.59,213.431,218.3495,410751,2022-11-04 04:00:00
1051,221.99,227.87,33497979,228.41,221.28,225.8583,346832,2022-11-07 05:00:00
1052,228.7,228.87,28192548,231.65,225.84,229.2191,328460,2022-11-08 05:00:00
1053,227.37,224.51,27851835,228.6327,224.33,225.9814,275026,2022-11-09 05:00:00
1054,235.43,242.98,46268021,243.33,235,239.8423,490190,2022-11-10 05:00:00
1055,242.99,247.11,34620246,247.99,241.93,245.5838,368001,2022-11-11 05:00:00
1056,241.985,241.55,31123340,243.91,239.21,242.0967,351680,2022-11-14 05:00:00
1057,245.66,241.97,31380517,247,240.03,243.3448,377449,2022-11-15 05:00:00
1058,242.79,241.73,24093272,243.8,240.42,242.0599,270175,2022-11-16 05:00:00
1059,237.78,241.68,23123544,243.25,237.63,241.2058,267476,2022-11-17 05:00:00
1060,243.51,241.22,27613523,243.74,239.03,240.7679,265827,2022-11-18 05:00:00
