AMPUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
315,0.00876,0.00888,152610971.173626,1.0542,0.00846,0.0087,17601,2022-07-13
316,0.00889,0.00897,176569839.992357,1.1316,0.00857,0.0088,16782,2022-07-14
317,0.00896,0.00901,148561435.040814,1.1286,0.00885,0.0091,17845,2022-07-15
318,0.00901,0.00905,110934100.34752,1.1619,0.0089,0.0091,15980,2022-07-16
319,0.00905,0.00892,128312558.114652,1.1499,0.00891,0.0091,15525,2022-07-17
320,0.00892,1.2134,201099328.005821,1.214,0.00891,0.0092,21327,2022-07-18
321,0.00926,0.00946,374163037.853274,1.214,0.00906,0.0095,26612,2022-07-19
322,0.00946,0.00935,504492589.768819,1.2001,0.00917,0.0099,33949,2022-07-20
323,0.00935,0.00923,171099766.808157,1.1884,0.00908,0.0093,17542,2022-07-21
324,0.00923,0.00898,179100819.428265,1.2081,0.00887,0.0092,17514,2022-07-22
325,0.00898,0.00905,92836149.3821026,1.1831,0.00881,0.009,12824,2022-07-23
326,1.1598,0.00896,87676016.6713526,1.3455,0.00885,0.0091,11997,2022-07-24
327,1.157,0.00845,181779985.246484,1.1855,0.00838,0.0089,17990,2022-07-25
328,0.00843,0.00837,214806986.217934,1.0908,0.00808,0.0083,15498,2022-07-26
329,0.00837,0.00854,280182791.756155,1.1082,0.008,0.0085,18275,2022-07-27
330,0.00854,0.00895,227666434.998522,1.1098,0.00853,0.0088,21478,2022-07-28
331,0.00895,0.00892,180535917.648847,1.2765,0.00865,0.0089,17901,2022-07-29
332,0.00893,0.00901,222898839.754292,1.9,0.0089,0.0092,19372,2022-07-30
333,0.009,0.0091,144984129.344402,1.7759,0.00894,0.0092,14913,2022-07-31
334,0.00909,0.00842,318923210.770848,1.3941,0.00824,0.0087,20035,2022-08-01
335,0.00843,0.00839,430685749.07232,1.3454,0.0079,0.0083,23738,2022-08-02
336,0.00838,0.00819,209648054.283888,1.2815,0.0081,0.0083,15452,2022-08-03
337,0.00817,0.00822,131361348.738593,1.2516,0.0081,0.0082,15003,2022-08-04
338,0.0082,0.00843,149974421.857774,1.35,0.00808,0.0083,17210,2022-08-05
339,0.00843,0.00834,136413242.093171,1.3976,0.00833,0.0085,15089,2022-08-06
340,0.00835,0.00837,101804206.270443,1.5017,0.00824,0.0085,13560,2022-08-07
341,0.00838,0.00837,117196021.415051,1.73,0.0083,0.0086,16751,2022-08-08
342,0.00837,0.00825,153090930.365274,1.7092,0.00805,0.0083,16170,2022-08-09
343,0.00826,0.00837,121807637.525743,1.5965,0.0081,0.0083,13155,2022-08-10
344,0.00836,0.00834,222697178.038368,1.6283,0.00821,0.0084,19253,2022-08-11
345,0.00836,0.00838,199246824.176197,1.7825,0.00821,0.0085,16352,2022-08-12
346,0.00838,0.00828,142677635.776111,2.0778,0.00824,0.0088,15886,2022-08-13
347,2.0336,0.00825,239333941.922585,2.0336,0.00818,0.0086,19676,2022-08-14
348,0.00823,0.00821,118585651.786747,1.6701,0.00812,0.0084,14562,2022-08-15
349,0.00823,0.00828,124171487.932643,1.5132,0.00813,0.0084,14735,2022-08-16
350,0.00828,0.00794,171023614.062428,1.4342,0.00791,0.0082,15026,2022-08-17
351,0.00793,0.00764,136382390.136425,1.4536,0.00762,0.0081,14494,2022-08-18
352,0.00764,0.00703,301505215.647415,1.3902,0.00698,0.0074,18632,2022-08-19
353,1.0428,0.00713,119899282.874791,1.0878,0.00702,0.0075,12664,2022-08-20
354,0.95086,0.00718,69291929.1939869,1.083,0.00708,0.0073,10348,2022-08-21
355,0.00718,1.0099,145794415.270614,1.048,0.00676,0.007,12031,2022-08-22
356,0.00696,0.00708,98736817.9750603,1.0956,0.00681,0.0071,12485,2022-08-23
357,0.00707,0.00698,128009486.561728,1.1036,0.00689,0.0072,13018,2022-08-24
358,0.00699,0.00704,132002697.619456,1.0852,0.00695,0.0071,13838,2022-08-25
359,0.00706,0.00657,167099674.11381,1.0502,0.00654,0.0069,14792,2022-08-26
360,0.00658,0.0066,100309949.933381,0.93482,0.00651,0.0067,11311,2022-08-27
361,0.0066,0.00642,90343033.9797276,0.90763,0.0064,0.0066,11429,2022-08-28
362,0.00642,0.00649,135841711.464318,0.94918,0.0062,0.0064,13282,2022-08-29
363,0.94549,0.0062,133054047.585582,0.95413,0.00609,0.0063,12253,2022-08-30
364,0.0062,0.00619,134558994.705206,0.94643,0.00617,0.0064,11168,2022-08-31
365,0.00619,0.00616,113209826.325852,0.93941,0.00606,0.0062,10853,2022-09-01
366,0.00616,0.00602,185437536.436456,0.95453,0.00595,0.0061,14849,2022-09-02
